"УИК №2901"	"УИК №2902"	"УИК №2903"	"УИК №2904"	"УИК №2905"	"УИК №2906"	"УИК №2907"	"УИК №2908"	"УИК №2909"	"УИК №2910"	"УИК №2911"	"УИК №2912"	"УИК №2913"	"УИК №2914"	"УИК №2915"	"УИК №2916"	"УИК №2917"	"УИК №2918"	"УИК №2919"	"УИК №2920"	"УИК №2921"	
696	698	365	944	1107	1709	2231	358	803	490	497	560	446	189	526	491	324	97	625	545	550	
800	750	400	1000	1150	1850	2400	350	800	500	500	600	500	200	550	500	350	100	650	550	550	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
458	504	221	698	720	1104	1428	207	465	343	365	388	297	133	360	261	167	68	396	370	389	
126	119	88	157	180	242	263	65	146	107	114	88	88	43	114	105	72	16	96	115	99	
216	127	91	145	250	504	709	78	189	50	21	124	115	24	76	134	111	16	158	65	62	
126	119	88	157	180	242	263	65	146	107	114	88	88	43	114	105	72	16	96	115	99	
458	504	221	698	720	1104	1428	207	465	343	365	388	297	133	360	261	167	68	396	370	389	
1	0	0	4	6	11	12	1	2	0	0	0	9	1	0	3	2	1	0	0	0	
583	623	309	851	894	1335	1679	271	609	450	479	476	376	175	474	363	237	83	492	485	488	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	5	3	1	3	7	11	0	2	2	2	2	1	0	0	2	3	0	1	1	2	
100	60	27	91	142	191	279	22	54	28	14	79	29	14	27	62	42	17	47	21	4	
19	18	13	29	58	81	113	18	30	7	6	7	15	13	5	17	13	4	13	11	6	
456	529	258	727	683	1036	1251	228	512	410	455	386	321	146	439	278	179	61	427	443	473	
0	4	4	0	2	5	5	0	2	1	0	2	3	1	1	2	0	1	1	4	1	
6	1	2	3	6	7	13	2	8	2	1	0	3	0	1	0	0	0	1	4	2	
0	4	0	0	0	7	4	0	0	0	1	0	1	1	1	2	0	0	0	1	0	
0	2	2	0	0	1	3	1	1	0	0	0	3	0	0	0	0	0	2	0	0	
