"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	
1759	525	2456	2415	2662	2415	911	1713	2610	1558	2687	1289	723	1971	1007	521	2045	2178	1249	722	790	755	2274	1560	1021	811	889	
1700	500	2300	2300	2200	2200	900	1600	2500	1500	2500	1250	700	2000	900	500	1900	2000	1200	700	700	700	2100	1400	1000	800	900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
746	280	1190	1150	1336	1116	326	946	1295	733	1210	623	392	885	550	319	1388	1042	656	436	461	329	1243	956	531	532	688	
103	120	123	112	288	147	27	55	114	57	136	82	52	130	110	30	307	181	132	87	180	143	218	350	125	163	68	
851	100	987	1038	576	937	547	599	1091	710	1154	545	256	985	240	151	205	777	412	177	59	228	639	94	344	105	144	
103	120	123	112	288	147	27	55	114	57	136	82	52	130	110	30	307	181	132	87	180	143	218	350	125	163	68	
746	280	1190	1150	1336	1116	326	946	1294	733	1209	541	392	885	550	319	1388	1042	656	436	461	329	1243	956	531	532	688	
18	14	21	16	19	20	4	13	15	18	21	13	9	19	10	3	11	13	11	6	0	18	26	10	17	0	2	
831	386	1292	1246	1605	1243	349	988	1393	772	1324	610	435	996	650	346	1684	1210	777	517	641	454	1435	1296	639	695	754	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	1	8	11	7	6	0	4	9	3	12	3	6	9	6	1	7	6	4	4	6	0	6	12	5	3	1	
121	20	292	178	233	151	20	104	235	121	192	95	65	180	58	32	132	61	161	113	46	54	165	62	159	86	95	
69	20	69	95	15	82	36	88	95	60	112	41	51	76	54	22	80	65	56	46	32	36	139	28	50	9	8	
615	340	880	933	1334	985	293	778	1011	564	972	456	302	705	521	285	1445	1058	539	346	547	359	1097	1167	408	592	640	
9	2	13	9	5	5	0	5	11	8	8	2	4	6	2	1	8	3	4	3	1	4	12	10	9	2	5	
9	1	18	9	4	2	0	3	15	10	14	6	6	14	7	0	7	12	6	4	4	1	8	10	6	1	5	
4	2	8	5	3	7	0	1	7	1	10	3	1	3	0	4	3	3	3	1	4	0	6	3	0	0	0	
0	0	4	6	4	5	0	5	10	5	4	4	0	3	2	1	2	2	4	0	1	0	2	4	2	2	0	
