"УИК №2101"	"УИК №2102"	"УИК №2103"	"УИК №2104"	"УИК №2105"	"УИК №2106"	"УИК №2107"	"УИК №2108"	"УИК №2109"	"УИК №2110"	"УИК №2111"	"УИК №2112"	"УИК №2113"	"УИК №2114"	"УИК №2115"	"УИК №2116"	"УИК №2117"	"УИК №2118"	"УИК №2119"	"УИК №2120"	"УИК №2121"	"УИК №2122"	"УИК №2123"	"УИК №2124"	"УИК №2125"	"УИК №2126"	"УИК №2127"	"УИК №2128"	"УИК №2129"	"УИК №2130"	"УИК №2131"	"УИК №2132"	"УИК №2133"	"УИК №2134"	"УИК №2135"	"УИК №2136"	"УИК №2137"	
368	180	443	422	288	311	92	109	102	278	466	336	381	272	172	198	292	136	400	258	177	350	619	783	119	159	306	224	324	443	1351	1239	1399	1217	1170	1292	1195	
370	190	480	440	300	330	90	110	100	290	470	350	430	280	170	200	300	130	420	260	190	360	620	760	130	160	310	240	330	440	1300	1200	1400	1200	1120	1300	1160	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
218	109	268	216	175	206	65	77	68	195	247	198	283	163	96	120	155	82	218	175	130	209	344	385	76	79	173	132	200	284	779	643	819	712	591	754	618	
66	17	86	70	41	21	3	4	8	28	44	26	9	51	22	24	50	21	78	16	5	30	46	95	8	18	31	20	15	34	39	35	37	37	31	64	22	
86	64	126	154	84	103	22	29	24	67	179	126	138	66	52	56	95	27	124	69	55	121	230	280	46	63	106	88	115	122	482	522	544	451	498	482	520	
66	17	86	70	41	21	3	4	8	28	44	26	9	51	22	24	50	21	78	16	5	30	46	95	8	18	31	20	15	34	39	35	37	37	31	64	22	
218	109	268	216	175	206	65	77	68	195	247	198	283	163	96	120	155	82	218	175	130	209	344	385	76	79	173	132	200	284	779	643	819	712	591	754	618	
4	0	9	3	0	1	1	2	0	2	0	4	3	0	2	0	2	0	2	2	2	3	6	5	1	2	1	0	5	4	10	11	6	20	7	8	10	
280	126	345	283	216	226	67	79	76	221	291	220	289	214	116	144	203	103	294	189	133	236	384	475	83	95	203	152	210	314	808	667	850	729	615	810	630	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	2	0	0	1	2	0	0	0	0	1	4	0	0	1	2	0	0	0	0	1	3	0	0	1	0	0	1	3	3	5	3	4	4	8	10	
29	12	34	33	21	8	11	7	6	20	18	9	17	17	3	10	18	9	45	46	4	31	42	43	12	10	16	5	18	14	110	92	129	93	75	124	73	
12	13	34	25	20	17	7	4	2	20	24	21	21	9	5	9	9	6	18	13	9	14	31	50	11	13	17	6	16	25	51	59	50	43	53	57	52	
235	95	271	221	172	198	45	62	67	174	238	186	240	184	105	124	173	86	224	126	114	185	301	369	60	69	167	140	171	270	632	485	647	569	472	604	478	
1	4	1	0	1	1	0	4	0	1	5	2	3	2	1	0	0	1	2	2	0	1	5	4	0	2	0	0	2	0	3	13	7	8	1	9	3	
1	1	1	1	1	1	1	2	1	1	5	1	2	2	2	0	1	0	3	1	5	3	1	7	0	0	3	1	2	0	2	7	7	5	4	3	5	
1	0	2	2	1	0	1	0	0	4	0	0	0	0	0	0	0	0	2	1	1	1	0	1	0	0	0	0	0	2	6	3	4	7	6	4	7	
1	0	0	1	0	0	0	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	3	3	0	0	1	2	
