"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	
2209	1842	1518	523	321	518	234	356	205	294	174	457	602	447	471	463	348	122	
2100	1800	1400	530	310	500	250	360	190	300	150	450	560	430	450	470	330	110	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1534	1143	1029	523	232	348	148	306	154	224	108	308	403	342	365	365	299	82	
122	232	118	0	67	62	37	17	33	46	39	65	50	58	74	53	17	9	
444	425	253	7	11	90	65	37	3	30	3	77	107	30	11	52	14	19	
122	232	118	0	67	62	37	17	33	46	39	65	50	58	74	53	17	9	
1534	1143	1029	523	232	348	148	306	154	224	108	308	403	342	365	365	299	82	
11	6	7	7	3	3	3	0	2	1	0	4	4	0	3	3	0	0	
1645	1369	1140	516	296	407	182	323	185	269	147	369	449	400	436	415	316	91	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	8	3	3	3	3	1	1	0	2	0	3	3	3	1	3	0	0	
164	173	166	10	34	40	34	25	15	19	19	22	28	20	37	64	25	6	
99	117	61	146	13	30	11	15	7	19	14	29	33	28	38	30	28	5	
1336	1046	865	305	240	322	130	275	160	220	111	305	378	339	351	316	259	79	
15	7	9	45	1	5	2	1	0	2	0	3	3	5	2	1	0	0	
7	6	10	4	1	5	3	2	1	4	2	5	3	1	5	0	3	0	
13	10	13	3	1	2	1	2	1	2	1	2	0	2	2	0	1	0	
7	2	13	0	3	0	0	2	1	1	0	0	1	2	0	1	0	1	
