"УИК №1549"	"УИК №1550"	"УИК №1551"	"УИК №1552"	"УИК №1553"	"УИК №1554"	"УИК №1555"	"УИК №1556"	"УИК №1557"	"УИК №1558"	"УИК №1559"	"УИК №1560"	"УИК №1561"	"УИК №1562"	"УИК №1563"	"УИК №1564"	"УИК №1565"	"УИК №1566"	"УИК №1567"	"УИК №1568"	"УИК №1569"	"УИК №1570"	"УИК №1571"	"УИК №1572"	"УИК №1573"	"УИК №3708"	"УИК №3709"	
2480	1569	2489	2465	2558	2335	2208	2118	1814	2416	1540	2078	2410	2449	2280	2188	2250	1431	2210	2023	2341	1507	1570	2720	2688	50	832	
1700	1100	2000	2000	2100	1900	1700	1700	1500	2000	1300	1700	2000	2000	1900	1800	1900	1200	1800	1700	1800	1200	1300	2200	2200	50	950	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1574	887	1416	1386	1449	1377	1329	1175	1127	1363	939	1216	1322	1471	1188	1375	1315	833	1258	1135	1316	832	886	1577	1534	50	825	
8	36	75	81	48	72	87	71	62	95	41	56	91	40	69	34	28	20	50	58	88	58	59	63	117	0	3	
118	177	509	533	603	451	284	454	311	542	320	428	587	489	643	391	557	347	492	507	396	310	355	560	549	0	122	
8	36	75	81	48	72	87	71	62	95	41	56	91	40	69	34	28	20	50	58	88	58	59	63	117	0	3	
1570	887	1416	1386	1447	1377	1327	1170	1123	1359	939	1215	1319	1471	1188	1370	1315	833	1253	1131	1316	832	886	1577	1533	50	825	
18	13	19	21	19	19	24	17	10	21	16	16	16	15	21	12	18	16	26	20	15	7	12	21	24	1	14	
1560	910	1472	1446	1476	1430	1390	1224	1175	1433	964	1255	1394	1496	1236	1392	1325	837	1277	1169	1389	883	933	1619	1626	49	814	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

18	6	8	11	16	10	8	15	14	17	12	11	19	14	4	8	16	7	13	11	9	6	7	9	16	1	14	
242	130	192	177	194	188	185	146	128	201	107	132	172	187	151	152	147	116	132	145	156	114	115	204	256	5	36	
65	59	98	68	68	75	91	97	69	90	65	77	75	67	68	78	54	49	91	54	69	50	56	119	84	1	81	
1045	649	1071	1102	1062	1058	993	882	887	1033	709	956	1017	1116	934	1075	1000	613	940	855	1068	636	699	1204	1178	38	484	
85	25	48	39	56	46	57	34	29	40	32	42	43	55	34	26	34	22	43	39	42	32	26	32	38	2	150	
8	8	9	11	14	9	6	10	15	12	3	14	10	11	8	8	11	7	10	12	11	7	9	14	9	1	6	
29	12	23	15	20	20	15	15	14	12	14	12	22	14	20	18	16	10	19	14	14	12	5	14	17	0	27	
68	21	23	23	46	24	35	25	19	28	22	11	36	32	17	27	47	13	29	39	20	26	16	23	28	1	16	
