"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №130"	"УИК №133"	"УИК №135"	"УИК №136"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №290"	"УИК №910"	"УИК №911"	"УИК №912"	
1877	2025	1931	1954	1787	1809	2419	1984	2126	2184	2404	2213	2447	3072	2435	2073	2787	2248	1630	1825	2130	1545	2395	2003	1285	1869	2740	1225	275	1631	2743	2110	2271	1792	1940	1817	1857	1890	2126	2267	1321	2092	1890	1776	1666	1706	1957	2389	2136	1616	2035	1594	1663	2067	1456	1682	2061	1989	1670	1666	1996	669	1785	1536	3049	997	789	223	1572	1532	1635	2909	
1800	1900	1800	1800	1700	1700	2300	1900	2000	2100	2300	2100	2200	2900	2300	1900	2700	2100	1500	1700	2000	1400	2300	1900	1200	1700	2600	1100	250	1500	2500	2000	2000	1700	1800	1700	1700	1800	2000	2200	1200	2000	1800	1600	1600	1500	1800	2300	2000	1500	1900	1500	1600	1900	1400	1500	1900	1900	1600	1600	1900	600	1700	1400	2800	900	700	225	1400	1400	1400	2800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1025	1125	1113	1115	1113	1020	1451	1191	1262	1343	1527	1336	1591	1858	1538	1273	1693	1365	735	1004	1013	909	1038	980	594	901	1023	450	116	821	1292	1017	1218	957	904	1101	878	1202	1327	1182	613	1200	1102	1019	974	979	1222	1462	1384	1050	1320	1000	988	1259	810	1016	1179	1104	970	1048	1135	336	1082	1009	1722	565	399	210	791	1011	1005	1764	
46	16	17	25	27	28	30	37	23	24	37	27	38	18	20	32	28	43	48	30	46	25	15	29	21	16	65	16	8	9	30	28	69	37	26	23	34	8	15	28	6	33	20	39	22	25	41	59	35	11	27	28	46	51	42	49	32	37	35	20	39	10	41	23	26	21	7	13	38	11	14	28	
729	759	670	660	560	652	819	672	715	733	736	737	571	1024	742	595	979	692	717	666	941	466	1247	891	585	783	1512	634	126	670	1178	955	713	706	870	576	788	590	658	990	581	767	678	542	604	496	537	779	581	439	553	472	566	590	548	435	689	759	595	532	726	254	577	368	1052	314	294	2	571	378	381	1008	
46	16	17	25	27	28	30	37	23	24	37	27	38	18	20	32	28	43	48	30	46	25	15	28	21	16	65	16	8	9	30	28	69	37	26	23	34	8	15	28	6	33	20	39	22	25	41	59	35	11	27	28	46	51	42	49	32	37	35	20	39	10	41	23	26	21	7	13	38	11	14	28	
1025	1124	1113	1115	1113	1020	1451	1191	1262	1343	1527	1336	1591	1858	1538	1272	1693	1365	735	1004	1013	905	1038	980	594	901	1023	450	116	820	1292	1017	1217	957	904	1101	878	1202	1327	1182	612	1199	1101	1019	974	979	1222	1462	1383	1050	1320	999	988	1258	810	1015	1179	1104	970	1048	1134	336	1082	1008	1722	565	399	210	791	1011	1005	1762	
11	23	15	5	14	11	3	10	18	7	10	7	19	16	15	13	12	11	4	14	15	9	13	10	3	9	12	6	2	6	14	12	11	8	9	10	8	15	5	6	6	12	6	12	11	13	11	10	7	7	12	11	10	16	18	5	8	8	9	5	12	1	9	9	8	6	1	2	5	10	6	21	
1060	1117	1115	1135	1126	1037	1478	1218	1267	1360	1554	1356	1610	1860	1543	1291	1709	1397	779	1020	1044	921	1040	998	612	908	1076	460	122	823	1308	1033	1275	986	921	1114	904	1195	1337	1204	612	1220	1115	1046	985	991	1252	1511	1411	1054	1335	1016	1024	1293	834	1059	1203	1133	996	1063	1161	345	1114	1022	1740	580	405	221	824	1012	1013	1769	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
