"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	
1535	1436	982	1086	1337	1225	1297	463	510	617	585	278	400	988	702	451	418	
1390	1395	960	1050	1230	1160	1250	485	520	580	570	280	360	970	670	435	405	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
698	704	380	468	604	576	561	215	142	288	228	119	157	396	139	201	170	
109	90	110	123	134	123	145	94	140	70	123	74	100	161	214	42	94	
583	601	470	459	492	461	544	176	238	222	219	87	103	413	317	192	141	
109	90	110	123	134	123	145	94	140	70	123	74	100	161	214	42	94	
698	704	380	468	604	576	561	215	142	288	228	119	157	396	139	201	170	
7	12	4	8	15	9	9	4	1	4	0	0	3	7	1	2	2	
800	782	486	583	723	690	697	305	281	354	351	193	254	550	352	241	262	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	8	6	2	4	6	8	7	2	4	11	2	2	7	0	0	1	
147	129	91	75	110	119	116	29	20	58	94	21	28	87	44	57	67	
43	47	29	48	71	59	59	40	37	37	23	18	28	38	38	21	13	
575	581	346	444	522	487	494	220	216	242	218	151	187	409	260	154	173	
5	6	7	5	5	6	7	6	5	5	2	1	4	2	6	4	2	
10	5	6	8	5	5	6	1	1	4	1	0	1	4	1	1	2	
5	2	1	1	5	3	4	1	0	1	1	0	0	3	2	3	1	
5	4	0	0	1	5	3	1	0	3	1	0	4	0	1	1	3	
