"УИК №835"	"УИК №836"	"УИК №837"	"УИК №838"	"УИК №839"	"УИК №840"	"УИК №841"	"УИК №842"	"УИК №843"	"УИК №844"	"УИК №845"	"УИК №846"	"УИК №847"	"УИК №848"	"УИК №849"	"УИК №850"	"УИК №851"	"УИК №852"	"УИК №853"	"УИК №855"	"УИК №856"	"УИК №1930"	
305	86	1130	1041	1602	101	151	858	1887	680	959	344	1444	225	1119	1035	863	107	43	36	22	130	
300	90	1100	1100	1100	100	150	900	1800	600	1000	300	1300	210	1100	1000	800	100	40	36	34	240	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	7	0	0	0	0	
143	44	580	503	843	51	98	374	1042	318	390	150	711	139	559	563	457	62	19	30	14	126	
29	2	17	7	24	7	3	16	24	9	33	5	7	6	27	26	14	1	0	0	3	0	
128	44	503	590	233	42	49	510	734	273	577	145	582	65	510	411	329	30	21	6	17	114	
29	2	17	7	24	7	3	16	24	9	33	5	7	6	31	26	14	8	0	0	3	0	
143	44	580	503	843	51	98	374	1039	318	390	150	711	139	559	563	457	62	19	30	14	126	
3	0	4	5	4	1	0	5	11	5	5	3	7	0	6	11	8	0	0	0	0	1	
169	46	593	505	863	57	101	385	1052	322	418	152	711	145	584	578	463	70	19	30	17	125	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	0	1	0	1	2	3	3	0	1	1	2	3	3	0	0	0	0	1	0	
15	3	88	60	97	8	15	33	154	46	60	20	106	7	70	101	70	4	4	0	0	9	
18	5	43	39	61	3	5	37	64	30	36	14	64	10	45	43	49	4	1	3	4	25	
134	37	450	401	685	44	76	310	817	238	310	115	529	121	461	421	336	62	14	27	12	76	
0	0	3	2	8	1	2	1	7	2	4	1	4	2	2	5	2	0	0	0	0	12	
2	1	3	1	5	0	0	1	3	1	4	1	4	3	1	2	2	0	0	0	0	1	
0	0	5	0	3	0	2	0	3	1	3	0	2	0	1	2	4	0	0	0	0	2	
0	0	1	2	3	1	0	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	
