"УИК №1327"	"УИК №1328"	"УИК №1329"	"УИК №1330"	"УИК №1331"	"УИК №1332"	"УИК №1333"	"УИК №1334"	"УИК №1335"	"УИК №1336"	"УИК №1337"	"УИК №1338"	"УИК №1339"	"УИК №1340"	"УИК №1341"	"УИК №1342"	"УИК №1343"	"УИК №1344"	"УИК №1345"	"УИК №1346"	"УИК №1347"	"УИК №1348"	"УИК №1349"	"УИК №1350"	"УИК №1351"	"УИК №1352"	"УИК №1353"	"УИК №1354"	"УИК №1355"	"УИК №1356"	"УИК №1357"	"УИК №1358"	"УИК №1359"	"УИК №1360"	"УИК №1361"	"УИК №1362"	"УИК №1363"	"УИК №1364"	"УИК №1365"	"УИК №1366"	"УИК №1367"	"УИК №1368"	"УИК №1369"	"УИК №1370"	"УИК №1371"	"УИК №1372"	"УИК №1373"	
1021	590	2187	2699	1170	1790	2277	887	2400	1061	2170	2194	1239	1649	1241	1114	1134	2317	808	1452	2258	2177	1226	1042	2525	1382	1183	2586	2562	1107	1840	2602	2654	1876	2546	2794	1296	1129	2694	2580	1892	1828	1106	2767	1479	1225	2612	
900	500	2000	2600	1050	1700	2250	800	2300	1000	2050	2150	1200	1450	1200	1050	1100	2250	750	1400	2200	2100	1150	1000	2500	1300	1150	2550	2550	1100	1800	2550	2550	1800	2500	2700	1200	1050	2650	2500	1800	1750	1050	2700	1350	1200	2500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
540	269	1282	1475	697	1156	1460	537	1497	669	1385	1343	785	1087	808	751	677	1371	431	856	1308	1212	744	617	1365	828	645	1386	1434	570	1070	1401	1690	952	1514	1737	879	748	1708	1663	1104	1175	725	1486	875	780	1416	
19	229	48	102	26	43	19	12	32	18	37	50	27	33	15	26	29	71	13	26	55	66	24	25	26	15	35	37	47	11	39	53	38	28	41	41	24	17	68	35	17	22	21	23	115	54	85	
341	2	670	1023	327	501	771	251	771	313	628	757	388	330	377	273	394	808	306	518	836	822	382	358	1109	457	470	1127	1069	519	690	1096	822	820	945	922	297	285	874	802	679	553	304	1191	360	366	999	
19	229	48	102	26	43	19	12	32	18	37	50	27	33	15	26	29	71	13	26	55	66	24	25	26	15	35	37	47	11	39	53	38	28	41	41	24	17	68	35	17	22	21	23	115	54	85	
540	269	1282	1474	697	1155	1460	537	1497	669	1385	1342	784	1087	808	751	677	1371	431	856	1308	1212	744	617	1365	828	644	1384	1434	570	1070	1401	1688	952	1512	1732	879	748	1708	1658	1100	1175	725	1486	874	780	1415	
5	11	10	9	8	6	21	7	20	15	15	17	7	14	9	7	12	13	7	5	22	21	8	13	17	11	11	20	15	10	12	20	40	16	18	18	10	12	12	24	13	9	13	18	7	8	20	
554	487	1320	1567	715	1192	1458	542	1509	672	1407	1375	804	1106	814	770	694	1429	437	877	1341	1257	760	629	1374	832	668	1401	1466	571	1097	1434	1686	964	1535	1755	893	753	1764	1669	1104	1188	733	1491	982	826	1480	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	8	16	12	4	11	11	5	10	10	10	9	5	8	9	4	5	13	4	4	5	6	6	3	11	8	1	8	14	2	8	10	14	10	11	9	4	7	15	16	5	3	7	5	5	6	13	
81	30	208	259	140	190	247	62	262	114	267	232	130	227	139	136	126	202	63	173	228	202	96	110	246	136	105	233	251	89	182	237	295	166	289	326	135	121	286	326	202	231	122	264	168	108	244	
30	48	93	72	43	54	79	45	103	47	95	68	37	89	30	45	34	84	25	53	95	83	54	58	107	55	40	86	110	53	61	98	95	65	105	78	51	34	109	105	80	66	34	79	84	55	99	
409	383	926	1127	497	888	1037	404	1066	474	967	991	610	745	595	555	494	1057	330	613	959	923	575	438	962	599	502	1031	1043	404	797	1041	1191	681	1086	1254	663	549	1282	1148	778	850	541	1091	682	630	1069	
12	13	29	39	15	23	33	8	22	14	34	34	10	14	13	18	10	28	5	11	32	20	9	10	18	18	8	16	19	8	24	26	33	12	14	32	22	11	23	30	17	14	9	20	12	11	15	
2	5	10	9	3	8	7	4	8	8	7	10	2	5	6	3	1	15	4	6	6	7	7	5	8	2	4	5	5	3	8	3	10	10	13	13	5	6	14	8	10	5	7	11	9	1	16	
5	0	12	25	4	3	19	8	9	4	13	16	1	9	11	1	8	9	4	5	3	7	5	4	11	7	4	9	12	5	7	9	16	7	7	20	5	7	16	15	6	8	4	10	5	4	6	
6	0	26	24	9	15	25	6	29	1	14	15	9	9	11	8	16	21	2	12	13	9	8	1	11	7	4	13	12	7	10	10	32	13	10	23	8	18	19	21	6	11	9	11	17	11	18	
