"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	"УИК №583"	"УИК №584"	"УИК №586"	"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №596"	"УИК №597"	"УИК №598"	
169	159	209	161	163	562	483	126	121	521	146	300	93	99	622	364	960	635	1062	229	300	329	
160	150	210	170	170	600	520	130	120	550	130	300	100	100	630	380	960	670	1050	220	300	340	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
112	78	121	89	82	313	228	62	71	233	90	155	51	52	419	245	658	433	769	117	196	205	
7	23	16	32	49	120	104	27	15	134	8	31	7	12	47	19	43	17	60	52	8	34	
41	49	73	49	39	167	188	41	34	183	32	114	42	36	164	116	259	220	221	51	96	101	
7	23	16	32	49	120	104	27	15	134	8	31	7	12	47	19	43	17	60	52	8	34	
112	78	121	89	82	313	228	62	71	233	90	155	51	52	419	245	658	433	769	117	196	205	
0	4	1	0	2	2	4	1	1	5	0	1	1	1	10	1	5	3	10	0	0	0	
119	97	136	121	129	431	328	88	85	362	98	185	57	63	456	263	696	447	819	169	204	239	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	1	0	1	2	2	0	0	4	1	0	0	1	4	1	2	2	11	1	0	1	
15	1	21	13	13	38	49	8	12	48	12	16	8	2	56	30	90	42	106	15	23	9	
16	11	19	16	16	50	25	7	10	41	14	13	9	2	60	35	70	62	67	22	23	20	
86	82	94	91	97	332	249	71	62	256	71	153	39	58	332	189	518	332	620	130	155	204	
1	2	1	0	1	7	1	1	0	2	0	1	0	0	1	2	5	5	7	1	1	1	
0	0	0	0	0	0	2	0	0	8	0	0	1	0	2	1	9	2	3	0	2	4	
0	0	0	0	0	2	0	1	0	1	0	1	0	0	1	5	1	1	4	0	0	0	
1	1	0	1	1	0	0	0	1	2	0	1	0	0	0	0	1	1	1	0	0	0	
