"УИК №2901"	"УИК №2902"	"УИК №2903"	"УИК №2904"	"УИК №2905"	"УИК №2906"	"УИК №2907"	"УИК №2908"	"УИК №2909"	"УИК №2910"	"УИК №2911"	"УИК №2912"	"УИК №2913"	"УИК №2914"	"УИК №2915"	"УИК №2916"	"УИК №2917"	"УИК №2918"	"УИК №2919"	"УИК №2920"	"УИК №2921"	
1016	981	1889	1057	1064	825	1241	169	190	1118	424	748	673	685	952	774	940	678	822	518	238	
940	880	1740	990	970	740	1130	160	170	1145	380	750	640	630	1000	800	890	640	800	580	220	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
651	650	1140	534	541	548	768	120	122	492	320	420	543	403	486	559	630	317	418	292	180	
140	114	280	187	90	52	149	22	27	296	48	112	94	132	246	138	134	134	228	165	25	
149	116	320	269	339	140	213	18	21	357	12	218	3	95	268	103	126	189	154	123	15	
140	114	280	187	90	52	149	22	27	296	48	112	94	132	246	138	134	134	228	165	25	
651	650	1140	534	541	548	768	120	122	492	320	420	543	403	486	559	630	317	418	292	180	
4	1	22	5	6	3	1	0	1	2	2	2	10	33	2	3	0	2	3	0	2	
787	763	1398	716	625	597	916	142	148	786	366	530	627	502	730	694	764	449	643	457	203	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	3	8	3	1	6	4	0	1	3	1	3	4	1	7	3	7	3	7	3	0	
74	63	149	82	84	46	112	10	14	78	30	59	37	61	70	90	74	66	100	7	15	
46	44	56	35	23	26	30	8	14	43	7	36	15	33	35	41	44	29	34	5	11	
657	638	1150	588	499	513	760	124	116	639	325	426	563	401	605	556	622	343	492	435	175	
1	10	9	4	6	1	3	0	1	15	1	0	5	1	4	0	8	2	3	2	0	
3	2	17	2	4	4	4	0	0	3	1	3	3	1	4	3	4	4	6	2	2	
3	3	4	1	5	0	2	0	0	3	1	2	0	3	2	0	2	0	1	0	0	
1	0	5	1	3	1	1	0	2	2	0	1	0	1	3	1	3	2	0	3	0	
