"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	"УИК №681"	"УИК №682"	
316	663	1008	995	893	604	527	286	504	443	391	187	1231	680	1041	
300	600	800	800	750	500	500	280	450	400	350	200	1000	550	850	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
154	337	439	452	461	325	333	178	271	292	228	133	693	377	516	
44	65	117	136	136	72	51	9	111	45	49	26	97	83	30	
102	198	244	212	153	103	116	93	68	63	73	41	210	90	304	
44	65	117	136	136	72	51	9	111	45	49	26	97	83	30	
154	337	439	452	461	325	333	178	271	292	228	133	693	377	516	
1	6	2	8	11	4	0	4	2	2	0	1	6	3	14	
197	396	554	580	586	393	384	183	380	335	277	158	784	457	532	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	0	2	3	11	3	5	3	0	4	2	0	5	1	2	
16	46	80	53	86	61	68	23	58	48	49	13	113	58	86	
13	47	49	53	48	35	17	18	35	22	24	18	66	29	58	
160	291	411	458	427	283	286	136	277	255	199	125	581	361	377	
1	5	4	8	5	4	2	2	3	1	2	0	7	2	5	
0	0	4	1	3	3	4	0	5	2	1	1	6	2	2	
1	7	2	3	2	2	0	1	0	3	0	1	1	3	1	
2	0	2	1	4	2	2	0	2	0	0	0	5	1	1	
