"УИК №3695"	"УИК №3696"	"УИК №3697"	"УИК №3698"	"УИК №3699"	
53	24	13	17	24	
53	24	13	17	24	
0	0	0	0	0	
48	24	13	17	24	
0	0	0	0	0	
5	0	0	0	0	
0	0	0	0	0	
48	24	13	17	24	
1	0	0	0	1	
47	24	13	17	23	
0	0	0	0	0	
0	0	0	0	0	

2	0	0	1	0	
12	2	2	0	1	
5	5	0	2	2	
17	17	11	14	17	
5	0	0	0	1	
0	0	0	0	0	
1	0	0	0	1	
5	0	0	0	1	
