"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	
2495	2220	2187	2047	777	542	500	211	300	517	175	792	345	212	480	308	
2400	2200	2100	2000	700	500	500	250	300	500	200	800	400	250	500	250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1239	1056	1093	965	296	220	253	80	143	214	38	437	164	99	202	158	
128	93	55	66	38	115	54	60	75	74	64	109	61	51	56	31	
1033	1051	952	969	366	165	193	110	82	212	98	254	175	100	242	61	
128	93	55	66	38	115	54	60	75	74	64	109	61	51	56	31	
1239	1056	1093	965	296	220	253	80	143	214	38	437	164	99	202	158	
10	14	11	8	1	3	0	1	1	3	0	1	6	0	0	3	
1357	1135	1137	1023	333	332	307	139	217	285	102	545	219	150	258	186	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	14	14	11	3	3	5	0	3	0	0	7	2	2	3	2	
279	236	258	200	72	68	36	15	10	38	12	71	25	21	36	23	
114	102	91	94	22	28	29	17	12	35	10	40	19	15	35	9	
904	738	735	691	228	229	227	106	191	211	73	410	167	109	174	143	
13	18	17	13	0	1	6	0	1	0	2	7	2	1	3	2	
13	12	9	8	4	0	1	1	0	0	3	5	4	2	7	4	
9	4	9	2	1	1	3	0	0	0	2	3	0	0	0	1	
12	11	4	4	3	2	0	0	0	1	0	2	0	0	0	2	
