"УИК №1607"	"УИК №1608"	"УИК №1609"	"УИК №1610"	"УИК №1611"	"УИК №1612"	"УИК №1613"	"УИК №1614"	"УИК №1615"	"УИК №1616"	"УИК №1617"	"УИК №1618"	"УИК №1619"	"УИК №1620"	"УИК №1621"	"УИК №1622"	"УИК №1623"	"УИК №1624"	"УИК №1625"	"УИК №1626"	"УИК №1627"	"УИК №1628"	"УИК №1629"	"УИК №1630"	"УИК №1631"	"УИК №1632"	"УИК №1633"	"УИК №1634"	"УИК №1635"	"УИК №1636"	"УИК №1637"	"УИК №1638"	"УИК №1639"	"УИК №1640"	"УИК №1641"	"УИК №1642"	"УИК №1643"	"УИК №1644"	
1395	1789	2121	1408	1360	1278	249	389	210	343	481	82	408	197	484	767	397	356	234	960	372	162	214	348	682	358	246	115	79	470	544	53	317	249	1564	738	624	110	
1398	1825	2146	1447	1408	1324	246	386	207	335	458	79	402	178	500	761	405	340	238	957	382	163	210	350	682	329	245	114	73	455	552	52	315	254	1636	747	610	111	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1034	1527	1863	1144	1191	1119	214	347	174	244	347	54	297	116	294	613	337	280	182	759	297	120	162	295	576	249	189	97	56	377	502	44	242	198	1184	598	519	72	
72	98	95	136	20	30	31	34	28	76	111	13	105	59	46	121	39	54	48	124	39	26	23	30	83	65	50	14	15	68	25	8	54	42	220	84	52	20	
292	200	188	167	197	175	1	5	5	15	0	12	0	3	160	27	29	6	8	74	46	17	25	25	23	15	6	3	2	10	25	0	19	14	232	65	39	19	
72	98	95	136	20	30	31	34	28	76	111	13	105	59	46	121	39	54	48	124	39	26	23	30	83	65	50	14	15	68	25	8	54	42	220	84	52	20	
1034	1527	1863	1144	1191	1119	214	347	174	244	347	54	297	116	294	613	337	280	182	759	297	120	162	295	576	249	189	97	56	377	502	44	242	198	1184	598	519	72	
2	5	0	6	0	3	2	0	0	2	0	0	0	0	0	0	2	7	0	5	0	0	0	0	2	0	1	0	0	0	0	0	0	1	7	2	0	1	
1104	1620	1958	1274	1211	1146	243	381	202	318	458	67	402	175	340	734	374	327	230	878	336	146	185	325	657	314	238	111	71	445	527	52	296	239	1397	680	571	91	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	40	5	11	4	5	3	0	1	0	1	0	3	1	2	3	4	0	0	4	1	0	0	2	2	0	1	1	0	0	1	0	1	0	5	3	4	0	
60	92	121	87	160	53	10	15	3	4	15	4	15	7	9	22	9	14	15	91	11	5	6	8	26	14	11	1	1	18	16	1	13	2	32	30	30	10	
50	113	111	41	50	71	7	11	5	21	16	6	15	3	27	44	18	22	8	29	7	9	9	17	43	16	3	5	3	23	9	1	13	9	131	47	31	2	
967	1340	1646	1087	970	977	222	346	193	290	418	55	364	163	297	655	341	290	205	745	315	127	166	289	576	277	219	103	66	402	496	49	267	222	1208	589	495	79	
3	10	37	17	17	7	1	7	0	1	1	0	1	0	2	3	0	0	0	4	1	2	1	6	2	0	0	0	0	2	0	0	0	5	6	2	3	0	
5	5	3	11	5	5	0	2	0	1	6	1	3	1	0	5	1	1	1	4	0	0	2	0	6	7	3	0	1	0	3	1	1	1	2	6	4	0	
8	5	7	5	5	9	0	0	0	0	0	1	1	0	2	2	0	0	0	0	1	2	1	3	2	0	1	0	0	0	0	0	1	0	5	2	4	0	
7	15	28	15	0	19	0	0	0	1	1	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	2	0	0	0	8	1	0	0	
