"УИК №2605"	"УИК №2606"	"УИК №2607"	"УИК №2608"	"УИК №2609"	"УИК №2610"	"УИК №2611"	"УИК №2612"	"УИК №2613"	"УИК №2614"	"УИК №2615"	"УИК №2616"	"УИК №2617"	"УИК №2618"	"УИК №2619"	"УИК №2620"	"УИК №2621"	"УИК №2622"	"УИК №2623"	"УИК №2624"	"УИК №2625"	"УИК №2626"	"УИК №2627"	"УИК №2628"	"УИК №2629"	"УИК №2630"	"УИК №2631"	"УИК №2632"	"УИК №2633"	"УИК №2634"	"УИК №2635"	"УИК №2636"	"УИК №2637"	"УИК №2638"	"УИК №2639"	"УИК №2640"	"УИК №2641"	"УИК №2642"	"УИК №2643"	"УИК №2644"	"УИК №2645"	
849	1749	2162	2119	1372	1301	1677	2213	2128	2192	2211	2693	2568	2256	2268	1432	1195	1570	1259	1045	2978	2554	2263	2013	2218	2292	2493	1829	2109	2143	1687	1523	1548	2098	1865	2495	2491	2779	1085	2612	2778	
592	1300	1500	2000	862	738	1300	1700	1800	1800	1800	2000	2000	2000	2000	1050	1000	1200	1000	1000	2000	2000	2000	1500	2000	2050	2000	1100	2000	1403	1300	1200	1200	1700	1800	2000	2000	1765	489	2000	2000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
589	1072	1293	1546	831	715	1013	1451	1315	1178	1329	1433	1473	1326	1275	802	610	834	686	530	1354	1558	1332	1170	1532	1437	1533	1076	1323	1370	1064	898	1001	1341	1433	1652	1621	1749	429	1613	1615	
3	23	113	18	31	23	27	27	22	15	23	30	21	18	45	31	9	8	13	11	365	65	25	46	8	27	33	24	27	33	20	19	29	15	47	51	13	16	60	12	12	
0	205	94	436	0	0	260	222	463	607	448	537	506	656	680	217	381	358	301	459	281	377	643	284	460	586	434	0	650	0	216	283	170	344	320	297	366	0	0	375	373	
3	23	113	18	31	22	27	27	22	15	23	30	21	18	45	31	9	8	13	11	365	65	25	46	8	27	33	24	27	33	20	19	29	15	47	51	13	16	60	12	12	
589	1072	1293	1544	831	715	1013	1451	1315	1178	1327	1430	1473	1326	1275	802	610	834	686	530	1353	1558	1332	1170	1532	1434	1533	1073	1323	1362	1062	897	1001	1339	1433	1601	1621	1749	429	1613	1614	
3	17	14	28	5	4	14	24	10	14	11	21	21	19	21	10	5	12	5	5	36	12	23	12	20	13	16	3	19	12	13	8	7	17	18	16	14	3	1	16	15	
589	1078	1392	1534	857	733	1026	1454	1327	1179	1339	1439	1473	1325	1299	823	614	830	694	536	1682	1611	1334	1204	1520	1448	1550	1094	1331	1383	1069	908	1023	1337	1462	1636	1620	1762	488	1609	1611	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	13	13	15	6	10	14	16	16	11	9	9	12	13	10	3	8	7	3	5	17	12	13	8	6	12	9	3	14	13	12	13	7	13	8	11	15	16	2	11	3	
79	139	179	184	87	88	125	187	149	122	137	195	213	180	140	80	66	89	60	48	160	147	119	153	239	152	185	118	177	150	112	107	128	158	155	201	209	228	20	246	201	
24	52	86	77	32	39	47	62	78	70	101	80	67	72	76	43	38	48	51	39	123	103	65	67	85	77	75	38	98	97	35	55	58	72	73	78	103	84	19	76	72	
439	805	1039	1188	663	532	748	1083	993	875	1005	1080	1066	976	1002	647	467	637	549	424	1307	1252	1058	891	1079	1110	1186	869	957	1059	821	681	770	1018	1137	1238	1197	1346	432	1149	1184	
22	23	33	35	32	30	43	36	37	40	32	27	41	25	30	22	8	18	7	2	29	41	27	28	59	43	36	29	37	29	39	19	19	23	29	45	43	36	7	54	81	
1	11	9	7	8	2	7	19	12	10	8	7	11	9	9	7	10	10	6	10	15	8	18	15	16	12	15	7	12	6	6	7	6	6	19	12	13	10	1	14	8	
9	12	12	16	10	7	16	24	23	22	20	16	29	19	15	11	6	9	9	5	12	22	20	16	20	12	25	16	11	16	17	12	17	17	15	22	23	22	4	33	32	
10	23	21	12	19	25	26	27	19	29	27	25	34	31	17	10	11	12	9	3	19	26	14	26	16	30	19	14	25	13	27	14	18	30	26	29	17	20	3	26	30	
