"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	
2359	2601	2150	2507	2362	2601	1346	543	
2150	2300	1900	2200	2100	2400	1200	500	
0	0	0	0	0	0	0	0	
1912	2135	1808	2134	1990	2161	912	450	
128	135	52	51	60	99	128	30	
110	30	40	15	50	140	160	20	
128	135	52	51	60	99	128	30	
1907	2128	1800	2125	1980	2153	908	449	
16	14	14	18	14	13	11	3	
2019	2249	1838	2158	2026	2239	1025	476	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	

29	34	30	38	33	37	16	8	
114	120	107	117	117	127	57	27	
181	192	162	155	202	204	104	41	
1596	1793	1469	1742	1571	1749	776	376	
22	24	24	23	23	28	12	5	
8	11	10	11	10	11	5	2	
18	21	15	18	19	21	7	5	
51	54	21	54	51	62	48	12	
