"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	
607	459	326	3573	1690	1578	1643	2358	3040	2449	1975	2611	2246	2323	2131	2076	1969	2033	2053	2248	2100	2146	1900	2002	2099	1969	2153	1909	1397	2293	2051	2182	2002	2279	2370	1905	2683	2111	3363	2916	1864	2431	1926	2575	2393	2102	1847	1935	2171	2127	2414	2167	1901	1991	2196	2373	2236	2199	2030	1890	2359	2198	1870	1907	2550	2040	3026	2010	2873	2720	2616	2252	
600	450	300	2500	1500	1500	1600	2000	2700	2000	1800	2500	2000	2000	2000	2000	1800	1800	2000	2000	2000	2000	1800	2000	2000	1900	2000	1500	1200	2000	1900	1900	1900	2000	2000	1800	2400	1900	3000	2600	1800	2100	1900	2500	2000	2000	1700	1800	2000	2000	2000	2000	1600	2000	2000	2000	1800	1800	2000	1700	2200	2000	1600	1600	2500	1900	2700	1700	2700	2700	2000	2000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
388	321	100	2165	996	864	949	1525	1615	1279	1058	1489	1223	1201	1292	1263	1221	1222	1167	1223	1220	1291	1058	1114	1159	1099	1223	1019	757	1315	1133	1082	1090	1294	1248	1111	1624	1277	2015	1616	1104	1382	1068	1537	1463	1278	981	980	1193	1222	1428	1231	956	1146	1209	1134	1251	1268	1257	994	1336	1305	1101	1167	1666	1333	2034	1164	1773	1692	1507	1261	
161	121	177	23	18	11	16	6	13	31	14	16	33	30	31	26	19	14	30	40	76	10	42	26	36	43	28	24	17	40	69	96	23	37	14	36	30	15	32	21	12	23	25	10	12	11	19	16	15	9	9	16	12	10	20	12	19	9	16	32	11	28	14	14	9	14	13	17	20	11	9	23	
51	8	23	312	486	625	635	469	1072	690	728	995	744	769	677	711	560	564	803	737	701	697	700	860	805	758	749	457	426	645	698	722	787	666	739	653	746	608	953	963	684	695	807	953	525	711	700	804	792	769	563	753	632	844	771	854	530	523	727	673	853	667	485	419	825	553	653	519	907	997	482	716	
161	121	177	23	18	11	16	6	13	31	14	16	33	30	31	26	19	14	30	40	76	10	42	26	36	43	28	24	17	40	69	96	23	37	14	36	30	15	32	21	12	23	25	10	12	11	19	16	15	9	9	16	12	10	20	12	19	9	16	32	11	28	14	14	9	14	13	17	20	11	9	23	
387	321	100	2165	996	864	949	1524	1614	1279	1058	1474	1219	1201	1292	1262	1220	1222	1167	1221	1220	1291	1056	1114	1159	1099	1223	1019	755	1314	1133	1082	1090	1294	1247	1111	1621	1276	2015	1600	1104	1382	1068	1537	1463	1278	976	979	1193	1222	1426	1231	954	1146	1209	1134	1251	1268	1257	994	1336	1299	1101	1167	1666	1333	2034	1163	1773	1692	1504	1261	
10	5	2	22	22	7	3	12	13	21	7	16	14	12	11	16	17	21	14	15	27	11	13	11	6	11	15	12	15	22	26	14	12	28	17	9	19	14	16	16	10	22	15	14	12	9	6	11	14	12	17	15	13	6	16	9	9	9	13	12	16	14	14	13	8	14	11	31	12	16	24	13	
538	437	275	2166	992	868	962	1518	1614	1289	1065	1474	1238	1219	1312	1272	1222	1215	1183	1246	1269	1290	1085	1129	1189	1131	1236	1031	757	1332	1176	1164	1101	1303	1244	1138	1632	1277	2031	1605	1106	1383	1078	1533	1463	1280	989	984	1194	1219	1418	1232	953	1150	1213	1137	1261	1268	1260	1014	1331	1313	1101	1168	1667	1333	2036	1149	1781	1687	1489	1271	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	6	5	7	14	12	11	10	9	13	6	17	11	8	19	8	17	14	8	16	12	16	8	15	5	8	15	7	9	16	11	10	12	20	8	9	18	9	17	6	9	9	8	11	10	9	6	3	5	12	11	13	11	16	7	7	4	14	8	7	11	11	11	7	18	10	17	5	8	13	7	7	
51	40	15	273	122	100	116	166	168	129	116	140	146	126	188	147	154	146	134	116	155	144	140	157	153	144	130	120	71	164	141	126	147	138	150	118	173	142	247	208	126	169	124	165	148	159	86	125	129	133	174	153	88	116	138	153	158	157	130	112	140	138	121	125	190	156	202	149	191	189	147	124	
28	37	29	99	41	22	49	72	76	74	50	61	80	64	58	56	76	90	50	51	55	49	50	63	71	50	67	67	45	67	57	64	46	55	54	59	60	53	72	98	45	52	52	76	89	86	54	24	63	66	58	56	63	56	64	64	38	50	66	50	67	55	54	55	96	59	110	59	91	82	118	50	
438	307	210	1638	727	647	699	1175	1272	992	818	1155	896	928	960	944	852	849	877	942	938	967	791	799	862	809	924	746	558	937	850	868	799	952	953	862	1213	935	1525	1185	829	983	823	1166	1059	897	757	746	899	888	1026	918	714	838	894	850	973	909	928	777	1001	982	830	885	1262	1026	1564	851	1392	1321	1109	987	
5	28	7	90	45	37	46	46	44	34	35	40	46	32	37	48	49	52	46	49	46	45	43	43	43	39	44	36	42	78	58	41	41	60	34	36	69	76	91	61	31	84	37	46	85	57	38	39	50	59	71	36	40	46	59	30	43	66	53	32	45	42	39	34	45	40	75	33	44	30	51	39	
0	4	3	12	11	6	8	11	5	11	3	9	8	11	10	15	11	12	16	12	9	8	12	11	14	12	10	10	7	11	13	6	9	7	9	12	14	2	9	6	9	18	9	10	8	10	12	5	7	7	12	10	9	9	11	5	3	10	10	7	7	10	11	11	7	12	11	9	7	13	13	8	
7	12	3	16	9	14	11	13	12	11	17	17	15	18	11	19	10	19	15	18	17	19	13	14	10	17	11	15	12	16	19	11	12	23	15	13	48	23	27	15	15	21	9	24	17	22	12	14	22	27	23	13	8	25	13	12	15	14	24	8	27	22	11	13	19	11	14	14	24	12	19	16	
5	3	3	31	23	30	22	25	28	25	20	35	36	32	29	35	53	33	37	42	37	42	28	27	31	52	35	30	13	43	27	38	35	48	21	29	37	37	43	26	42	47	16	35	47	40	24	28	19	27	43	33	20	44	27	16	27	48	41	21	33	53	24	38	30	19	43	29	24	27	25	40	
