"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	
1155	337	501	112	284	28	11	30	62	138	14	31	35	
1200	350	500	130	250	30	20	40	70	200	30	40	40	
0	0	0	0	44	0	0	0	0	0	0	0	0	
731	167	267	67	168	17	2	11	40	50	8	18	8	
59	33	31	9	10	3	3	1	5	9	0	3	16	
410	150	202	54	28	10	15	28	25	141	22	19	16	
59	33	31	9	10	3	3	1	5	9	0	3	16	
731	167	267	67	212	17	2	11	40	50	8	18	8	
15	1	3	1	3	0	0	0	0	0	0	0	0	
775	199	295	75	219	20	5	12	45	59	8	21	24	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

4	1	0	0	1	0	0	0	0	0	0	0	0	
96	19	27	9	34	0	1	0	3	2	1	2	1	
78	20	25	7	42	7	0	2	2	7	2	1	2	
583	155	238	58	136	13	4	10	40	49	5	18	20	
7	1	1	1	3	0	0	0	0	1	0	0	1	
3	3	1	0	1	0	0	0	0	0	0	0	0	
3	0	3	0	1	0	0	0	0	0	0	0	0	
1	0	0	0	1	0	0	0	0	0	0	0	0	
