"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	
2013	2702	1954	911	83	233	204	922	101	725	1266	887	137	116	412	602	480	354	117	549	
1800	2500	1900	800	80	200	200	900	100	700	1200	900	130	120	400	600	450	350	120	550	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
902	1393	1125	443	38	102	91	400	60	311	536	429	80	30	237	236	242	186	45	218	
54	85	41	25	21	9	11	42	4	27	53	40	8	15	29	47	9	21	23	31	
844	1022	734	332	21	89	98	458	36	362	611	431	42	75	134	317	199	143	52	301	
54	85	41	25	21	9	11	42	4	27	53	40	8	15	29	47	9	21	23	31	
902	1393	1125	443	38	102	91	400	60	311	536	429	80	30	237	236	242	186	45	218	
15	25	22	8	0	0	1	6	2	4	5	3	1	0	6	3	5	1	0	1	
941	1453	1144	460	59	111	101	436	62	334	584	466	87	45	260	280	246	206	68	248	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	22	15	4	0	1	2	2	1	3	3	5	1	0	0	1	1	1	1	2	
110	224	166	75	6	3	16	79	6	30	69	65	3	2	30	39	12	19	4	34	
116	120	97	52	5	8	19	46	13	31	70	41	3	6	14	30	24	22	4	19	
662	1006	825	303	46	97	63	285	40	256	414	338	71	36	211	201	196	158	58	178	
20	43	17	10	1	0	0	11	1	7	8	9	3	1	2	2	7	3	1	7	
6	13	10	7	0	2	0	2	1	3	9	2	0	0	2	2	4	1	0	6	
8	11	5	5	1	0	0	7	0	2	4	1	2	0	0	2	1	2	0	1	
8	14	9	4	0	0	1	4	0	2	7	5	4	0	1	3	1	0	0	1	
