"УИК №2401"	"УИК №2402"	"УИК №2403"	"УИК №2404"	"УИК №2405"	"УИК №2406"	"УИК №2407"	"УИК №2408"	"УИК №2409"	"УИК №2410"	"УИК №2411"	"УИК №2412"	"УИК №2413"	"УИК №2414"	"УИК №2415"	"УИК №2416"	
1904	879	1420	1752	1323	268	383	313	559	271	528	722	264	211	308	145	
1750	800	1400	1750	1200	250	350	300	500	273	500	700	250	200	300	140	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1258	564	942	1106	783	220	274	229	422	212	412	523	224	148	263	110	
50	62	57	51	81	23	51	46	50	54	52	104	19	24	16	14	
442	174	401	593	336	7	25	25	28	7	36	73	7	28	21	16	
50	62	57	51	81	23	51	46	50	54	52	104	19	24	16	14	
1258	562	940	1106	783	220	274	229	422	212	412	523	224	148	263	110	
17	6	11	16	12	1	7	5	9	12	5	9	0	1	5	0	
1291	618	986	1141	852	242	318	270	463	254	459	618	243	171	274	124	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	6	10	10	3	2	4	0	5	2	1	2	1	2	2	1	
193	90	143	172	92	45	54	47	53	32	49	73	35	11	27	20	
93	37	72	79	59	13	32	19	30	22	25	57	13	15	8	9	
941	452	723	817	666	178	222	197	362	193	375	467	189	137	224	91	
10	12	14	26	8	2	2	1	3	3	4	4	2	1	3	0	
11	8	4	8	5	0	0	4	2	0	1	1	0	0	0	2	
12	4	10	10	13	0	1	0	5	1	0	7	0	5	6	1	
19	9	10	19	6	2	3	2	3	1	4	7	3	0	4	0	
