"УИК №2801"	"УИК №2802"	"УИК №2803"	"УИК №2804"	"УИК №2805"	"УИК №2806"	"УИК №2807"	"УИК №2808"	"УИК №2809"	"УИК №2810"	"УИК №2811"	"УИК №2812"	"УИК №2813"	"УИК №2814"	"УИК №2815"	"УИК №2816"	"УИК №2817"	"УИК №2818"	"УИК №2819"	"УИК №2820"	"УИК №2821"	"УИК №2822"	"УИК №2823"	"УИК №2824"	"УИК №2825"	"УИК №2826"	"УИК №2827"	"УИК №2828"	"УИК №2829"	"УИК №2830"	"УИК №2831"	"УИК №2832"	"УИК №2833"	
1741	2101	1748	1440	2060	1104	1901	2311	1862	2765	1218	1368	2672	2109	2993	1981	1759	1574	2138	1638	1786	1812	1836	1524	2205	2463	1634	1722	1748	1863	2176	1723	2242	
1500	2000	1500	1400	2000	1000	1500	2000	1500	2500	1000	1200	2000	2000	2500	1800	1500	1500	1800	1500	1500	1700	1500	1200	2000	2000	1500	1500	1500	1700	1700	1500	2000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1068	1353	924	962	1063	749	1122	1460	1066	1579	600	822	1646	1307	1884	1200	832	677	1186	967	1224	1169	1117	947	1289	1577	1094	1075	1137	1242	1304	989	1215	
51	56	44	70	67	53	77	50	49	73	78	120	19	20	44	58	64	49	212	32	13	28	43	58	61	34	39	53	25	57	123	140	84	
381	591	532	368	870	198	296	490	385	848	322	258	335	673	572	542	604	774	402	501	263	503	340	195	650	389	367	372	338	401	273	371	701	
51	56	44	70	67	53	77	50	49	73	78	120	19	20	44	58	64	49	212	32	13	28	43	58	61	34	39	53	25	57	123	140	84	
1068	1353	923	962	1063	749	1122	1460	1066	1579	600	822	1646	1306	1884	1200	832	677	1186	967	1224	1169	1117	947	1286	1577	1094	1075	1137	1242	1304	989	1215	
17	24	16	7	24	4	20	25	8	19	11	13	19	12	16	17	20	11	12	23	13	13	6	14	26	19	14	17	24	20	12	17	13	
1102	1385	951	1025	1106	798	1179	1485	1107	1633	667	929	1646	1314	1912	1241	876	715	1386	976	1224	1184	1154	991	1321	1592	1119	1111	1138	1279	1415	1112	1286	
0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	13	2	4	7	5	7	5	9	10	3	2	9	8	9	5	5	8	15	6	7	8	9	4	9	8	12	7	10	13	6	5	6	
102	168	84	122	130	68	103	180	104	217	48	83	241	167	224	115	82	69	141	91	132	142	122	105	143	166	120	120	110	122	110	76	124	
66	79	52	70	69	44	68	79	59	79	38	44	73	79	156	71	50	44	81	70	56	66	84	49	84	105	81	54	65	93	91	73	85	
874	1083	779	794	861	662	951	1153	879	1246	551	769	1212	1015	1431	1024	710	581	1090	777	989	908	892	783	1025	1251	873	875	900	994	1147	936	1026	
31	23	17	16	20	12	22	34	25	47	16	18	64	17	54	13	9	6	26	13	16	23	24	26	28	26	14	24	28	30	35	11	23	
8	8	6	10	6	1	6	12	9	7	6	4	6	5	15	4	10	3	12	4	5	9	1	7	10	14	8	3	5	7	7	1	9	
3	6	5	3	4	1	11	13	8	5	4	6	19	10	14	6	5	1	8	7	9	15	9	4	7	8	4	10	6	8	8	5	7	
10	5	6	6	9	5	11	9	14	22	1	3	22	13	9	3	5	3	13	8	10	13	13	13	15	14	7	18	14	12	11	5	6	
