"УИК №632"	"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	"УИК №637"	"УИК №638"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №643"	"УИК №644"	"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	
604	707	364	2409	439	1274	766	435	93	818	1563	279	1850	551	1737	407	422	1094	92	366	366	2464	2051	2498	1049	1015	183	208	266	192	920	
510	540	280	1880	340	990	590	340	70	620	1230	210	1450	420	1350	330	330	860	80	390	280	1820	1640	1930	820	790	150	160	210	150	700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
341	448	235	1337	240	787	497	295	61	560	1042	180	1166	329	1067	226	227	609	33	202	187	1415	1267	1289	577	639	110	121	181	132	569	
107	61	2	92	6	89	18	24	4	33	78	7	50	18	38	19	4	63	4	9	9	93	35	104	56	33	7	13	9	13	71	
62	31	43	451	94	114	75	21	5	27	110	23	234	73	245	85	99	188	43	179	84	312	338	537	187	118	33	26	20	5	60	
107	61	2	92	6	89	18	24	4	33	78	7	50	18	38	19	4	63	4	9	9	93	35	104	56	33	7	13	9	13	71	
341	448	235	1337	240	787	496	295	61	560	1042	180	1166	329	1067	226	227	609	33	202	187	1415	1267	1289	577	639	110	121	181	132	569	
1	2	2	21	2	14	5	2	0	4	11	0	12	6	12	4	4	7	0	3	2	15	10	11	6	10	0	1	0	1	9	
447	507	235	1408	244	862	509	317	65	589	1109	187	1204	341	1093	241	227	665	37	208	194	1493	1292	1382	627	662	117	133	190	144	631	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	3	2	7	1	7	4	0	1	1	6	4	6	1	5	1	0	2	0	4	0	14	9	1	1	4	0	0	1	0	4	
72	65	46	283	62	260	163	50	17	85	267	40	261	86	298	52	37	94	5	20	34	443	369	354	81	145	24	30	28	31	71	
35	45	22	92	13	50	21	34	9	38	58	15	69	31	77	19	15	36	3	18	9	78	77	94	34	46	4	10	25	9	28	
329	389	157	990	164	540	314	231	37	452	756	121	845	216	686	162	172	529	29	163	150	935	809	915	504	455	88	90	132	101	521	
2	1	1	10	2	2	0	1	0	2	8	6	4	4	3	0	0	1	0	3	0	12	4	7	1	6	0	1	1	0	4	
4	3	3	10	0	2	4	1	1	2	10	0	10	0	18	6	2	1	0	0	1	6	14	3	2	4	0	0	2	1	2	
2	1	1	10	2	1	1	0	0	3	1	1	1	1	2	1	1	0	0	0	0	1	3	3	0	1	0	0	0	2	1	
1	0	3	6	0	0	2	0	0	6	3	0	8	2	4	0	0	2	0	0	0	4	7	5	4	1	1	2	1	0	0	
