"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	
1568	1496	319	403	451	187	327	263	181	117	200	95	
1600	1500	350	390	490	210	370	300	200	150	250	110	
0	0	0	0	0	0	0	0	0	0	0	0	
887	831	114	266	171	76	131	134	100	75	115	57	
93	131	116	43	175	66	111	57	48	20	42	20	
620	538	120	81	144	68	128	109	52	55	93	33	
93	131	116	43	175	66	111	57	48	20	42	20	
887	831	114	266	171	76	131	134	100	75	115	57	
8	9	2	16	1	2	1	2	0	0	1	1	
972	953	228	293	345	140	241	189	148	95	156	76	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

17	10	3	0	4	0	3	3	1	0	1	3	
112	136	23	14	31	10	14	22	16	7	8	7	
63	73	24	27	30	18	18	11	14	7	17	7	
738	697	169	245	267	104	195	148	115	81	126	53	
14	12	4	4	5	2	5	2	1	0	0	0	
4	10	2	1	1	1	3	1	0	0	3	6	
8	1	3	1	4	0	1	0	0	0	0	0	
16	14	0	1	3	5	2	2	1	0	1	0	
