"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	
1503	1384	1480	1374	1330	1284	909	1269	1247	629	146	925	
1230	1200	1220	1100	1050	1100	750	1050	1050	550	120	780	
0	0	0	0	0	0	0	0	0	0	0	0	
1168	1041	1174	1045	923	897	649	829	873	387	89	598	
24	23	23	24	88	22	38	26	41	34	2	20	
38	136	23	31	39	181	63	195	136	129	29	162	
24	23	23	24	88	22	38	26	41	34	2	20	
1167	1041	1173	1045	922	897	649	828	873	387	89	598	
19	16	33	33	18	19	8	13	17	10	1	9	
1172	1048	1163	1036	992	900	679	841	897	411	90	609	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

10	10	12	6	12	6	5	6	11	3	2	5	
146	128	123	148	132	119	76	86	121	64	6	85	
94	76	66	73	66	49	65	71	53	39	14	67	
843	771	873	759	739	689	500	638	641	293	64	430	
39	21	30	22	20	15	14	24	33	4	1	10	
11	7	15	8	3	7	4	5	16	2	1	6	
15	7	20	9	12	6	4	2	10	4	1	3	
14	28	24	11	8	9	11	9	12	2	1	3	
