"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	
1992	2596	2096	440	146	107	107	837	891	212	274	247	361	202	211	292	262	401	401	857	891	244	235	278	
1800	2500	2000	450	145	100	95	850	900	200	235	260	360	200	200	290	270	440	390	900	900	250	240	290	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1346	1486	1519	340	87	58	55	463	573	117	187	163	210	105	124	148	99	232	253	624	660	157	128	153	
51	75	53	24	16	11	27	135	55	12	14	19	69	36	36	56	73	103	76	62	74	21	41	60	
403	939	428	86	42	31	13	252	272	71	34	78	81	59	40	86	98	105	61	214	166	72	71	77	
51	75	53	24	16	11	27	135	55	12	14	19	69	36	36	56	73	103	76	62	74	21	41	60	
1346	1486	1519	340	87	58	55	463	573	117	187	163	210	105	124	148	99	232	253	624	660	157	128	153	
12	26	5	9	5	0	0	5	5	0	1	0	5	0	2	3	0	0	0	8	3	4	0	0	
1385	1535	1567	355	98	69	82	593	623	129	200	182	274	141	158	201	172	335	329	678	731	174	169	213	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	8	9	2	0	0	0	3	1	3	2	1	0	1	0	3	1	1	1	3	4	2	1	1	
182	244	279	26	16	15	14	51	81	15	14	16	27	16	17	39	15	17	13	61	116	14	18	12	
112	115	158	18	13	1	1	46	57	11	13	26	35	9	13	7	5	20	33	31	37	11	14	9	
1062	1136	1070	298	69	52	67	487	471	97	167	135	206	115	127	148	147	294	279	571	566	142	133	187	
7	8	20	1	0	0	0	2	1	1	1	4	0	0	0	1	1	1	1	1	4	4	3	2	
7	13	11	7	0	0	0	3	7	2	3	0	1	0	0	1	3	1	1	3	0	0	0	2	
6	7	10	0	0	1	0	1	5	0	0	0	1	0	1	2	0	1	1	7	1	0	0	0	
3	4	10	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	3	1	0	0	
