"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	
337	901	1099	68	415	183	196	312	370	138	246	63	
362	1050	1100	65	398	210	200	350	470	200	230	73	
16	0	28	6	0	20	0	41	0	0	18	0	
238	555	647	47	270	127	151	193	265	128	182	45	
26	14	94	1	42	8	16	17	20	10	8	0	
82	481	331	11	86	55	33	99	185	62	22	28	
42	14	122	7	42	28	16	58	20	10	26	0	
238	555	647	47	270	127	151	193	265	128	182	45	
2	9	3	0	0	0	0	2	4	1	0	0	
278	560	766	54	312	155	167	249	281	137	208	45	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

1	2	3	0	1	2	0	2	0	0	1	0	
50	74	153	15	15	44	11	29	51	13	53	4	
8	26	45	0	20	0	20	3	1	3	2	0	
213	436	548	39	271	103	130	214	223	115	151	41	
2	10	9	0	1	5	4	1	4	5	0	0	
3	1	1	0	3	1	0	0	2	1	0	0	
1	5	5	0	0	0	0	0	0	0	1	0	
0	6	2	0	1	0	2	0	0	0	0	0	
