"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №754"	
260	160	597	423	959	440	1948	2569	552	228	1346	720	
250	150	600	450	1000	420	2000	2500	550	230	1400	700	
0	0	0	0	0	0	0	0	0	0	0	0	
162	93	345	219	469	213	984	1410	303	134	743	440	
46	13	56	51	157	39	116	110	58	36	162	70	
42	44	199	180	374	168	900	980	189	60	495	190	
46	13	56	51	157	39	116	110	58	36	162	70	
162	93	345	219	469	213	984	1409	303	134	743	440	
0	2	2	4	12	3	22	13	1	1	3	4	
208	104	399	266	614	249	1078	1506	360	169	902	506	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

2	1	1	2	7	1	2	5	3	0	7	3	
20	15	98	59	149	76	286	370	80	28	229	157	
10	10	21	34	61	9	79	115	28	7	85	39	
176	78	278	169	389	160	692	996	244	130	560	298	
0	0	0	1	2	1	4	10	2	2	9	3	
0	0	1	0	2	1	10	4	2	2	10	5	
0	0	0	0	2	0	3	2	1	0	2	0	
0	0	0	1	2	1	2	4	0	0	0	1	
