"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	
964	501	367	258	360	422	501	1174	631	251	75	549	374	663	107	408	261	216	119	136	100	413	298	374	1468	984	920	1356	
1000	500	400	240	350	400	500	1200	600	250	70	550	350	700	100	400	270	230	120	130	100	400	250	350	1500	950	950	1400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
511	371	235	138	246	213	332	550	297	133	55	412	234	446	77	321	134	153	80	96	67	296	243	285	954	525	577	749	
308	66	96	100	52	59	112	99	103	91	6	118	96	98	17	43	57	25	30	24	23	65	6	37	184	122	174	113	
181	63	69	2	52	128	56	551	200	26	9	20	20	156	6	36	79	52	10	10	10	39	1	28	362	303	199	538	
308	66	96	100	52	59	112	99	103	91	6	118	96	98	17	43	57	25	30	24	23	65	6	37	184	122	174	113	
511	371	235	138	246	213	332	550	297	133	55	412	234	446	77	321	134	153	80	96	67	296	243	285	954	525	577	749	
8	0	4	0	0	0	11	7	2	0	1	7	0	4	1	4	1	0	0	0	0	3	3	5	9	4	10	15	
811	437	327	238	298	272	433	642	398	224	60	523	330	540	93	360	190	178	110	120	90	358	246	317	1129	643	741	847	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	0	0	0	4	2	2	0	1	0	1	2	0	0	2	0	4	0	0	0	0	0	1	8	2	3	7	
84	39	14	3	13	25	16	75	28	14	0	49	18	53	3	17	18	5	3	21	3	24	17	30	122	75	60	113	
39	20	30	4	15	25	26	45	16	4	2	16	22	30	5	21	10	11	7	3	8	13	13	16	60	39	30	44	
674	370	278	229	263	210	380	513	341	204	58	455	284	452	84	316	159	155	96	95	77	318	214	261	921	513	632	669	
6	3	3	2	3	6	2	3	6	0	0	1	1	2	0	0	1	1	3	0	0	1	1	2	6	4	7	5	
6	4	1	0	2	1	6	2	5	1	0	1	0	3	1	4	1	1	0	1	2	0	1	5	7	5	5	4	
0	0	1	0	1	0	1	1	2	0	0	0	2	0	0	0	1	0	1	0	0	1	0	2	1	3	2	2	
1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	4	2	2	3	
