"УИК №1915"	"УИК №1916"	"УИК №1917"	"УИК №1918"	"УИК №1919"	"УИК №1920"	"УИК №1921"	"УИК №1922"	"УИК №1923"	"УИК №1924"	"УИК №1925"	"УИК №1926"	"УИК №1927"	"УИК №1928"	"УИК №1929"	"УИК №1930"	"УИК №1931"	"УИК №1932"	
835	783	1082	869	1358	173	1896	1368	1122	1809	1467	1013	1108	1585	366	1043	1432	1447	
850	750	1050	850	1300	300	1850	1350	1100	1800	1450	1000	1050	1550	350	1000	1450	1450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
534	486	623	438	805	0	1022	760	599	1097	856	588	656	965	237	671	878	950	
11	17	12	37	30	171	48	24	20	47	32	21	24	39	2	21	18	29	
305	247	415	375	465	129	780	566	481	656	562	391	370	546	111	308	554	471	
11	17	12	37	30	171	48	24	20	47	32	21	24	39	2	21	18	29	
534	486	623	438	805	0	1022	760	599	1097	856	588	656	965	237	671	878	950	
5	7	11	6	11	2	16	6	4	11	11	5	3	5	1	4	8	11	
540	496	624	469	824	169	1054	778	615	1133	877	604	677	999	238	688	888	968	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	6	6	4	4	1	12	7	5	4	8	5	8	4	1	3	3	5	
69	98	93	79	126	8	169	105	87	173	122	101	82	182	37	97	137	132	
37	27	57	38	63	30	81	73	43	83	47	35	70	61	18	72	61	72	
413	341	455	337	601	124	759	566	466	826	682	451	501	728	171	497	664	730	
9	5	4	3	13	4	16	14	3	22	4	6	7	6	1	6	6	12	
1	12	5	3	8	0	5	7	1	10	5	4	4	4	5	7	8	11	
1	3	0	4	4	1	3	1	7	4	3	0	4	5	2	1	5	5	
6	4	4	1	5	1	9	5	3	11	6	2	1	9	3	5	4	1	
