"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	
874	806	495	1707	656	552	868	1435	1774	417	1235	1789	113	1000	1443	1469	1840	
839	813	495	1705	656	552	868	1435	1774	417	1174	1744	106	1000	1443	1469	1802	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
776	742	430	1637	619	478	786	1176	1672	358	1097	1557	99	760	1415	1380	1770	
24	58	20	53	34	22	13	84	78	10	4	89	0	220	5	20	20	
39	13	45	15	3	52	69	175	24	49	73	98	7	20	23	69	12	
24	58	20	53	34	22	13	84	78	10	4	89	0	220	5	20	20	
776	742	430	1637	619	478	786	1176	1672	358	1097	1557	99	760	1415	1380	1770	
0	0	0	0	0	0	11	0	0	0	1	16	0	0	62	0	3	
800	800	450	1690	653	500	788	1260	1750	368	1100	1630	99	980	1358	1400	1787	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	1	0	5	2	0	1	4	2	0	1	0	2	1	1	0	1	
36	32	18	97	44	39	46	23	117	51	102	65	5	59	121	107	93	
12	17	5	89	26	21	3	45	109	9	51	3	2	59	26	71	83	
745	745	426	1497	578	439	729	1173	1521	306	941	1536	90	860	1209	1221	1605	
0	0	0	0	0	0	7	0	0	0	0	15	0	0	0	0	0	
3	3	1	2	2	1	0	15	1	2	5	6	0	1	1	1	3	
1	2	0	0	1	0	1	0	0	0	0	1	0	0	0	0	2	
0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	
