"УИК №2581"	"УИК №2582"	"УИК №2583"	"УИК №2584"	"УИК №2585"	"УИК №2586"	
2020	1958	2197	2282	1963	2155	
1600	1700	1900	1800	1700	1800	
0	0	0	0	0	0	
1206	1266	1501	1360	1241	1466	
29	22	23	29	33	29	
365	412	376	411	426	305	
29	22	23	29	33	29	
1206	1265	1501	1360	1241	1466	
15	10	13	20	10	26	
1220	1277	1511	1369	1264	1469	
0	0	0	0	0	0	
0	0	0	0	0	0	

10	8	8	10	4	9	
137	167	228	170	157	181	
97	91	96	101	93	104	
938	958	1129	1047	964	1134	
14	23	15	17	23	14	
7	5	14	10	8	10	
11	12	9	8	8	5	
6	13	12	6	7	12	
