"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №73"	
1204	1430	984	1130	464	1407	1348	1585	1025	1056	443	843	878	526	400	241	618	567	605	612	132	969	205	372	333	292	905	387	208	579	410	
1000	1300	900	1000	400	1300	1200	1500	950	950	400	800	850	500	390	230	580	550	600	590	120	900	205	360	300	270	850	380	200	550	405	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
575	773	471	524	370	896	920	1222	606	707	298	590	711	402	271	174	385	316	427	494	84	690	141	262	238	159	697	266	129	250	310	
167	150	81	97	27	165	78	49	141	179	58	202	97	80	71	13	115	144	94	72	15	173	31	50	33	79	108	58	32	109	64	
258	377	348	379	3	239	202	229	203	64	44	8	42	18	48	43	80	90	79	24	21	37	33	48	29	32	45	56	39	191	31	
167	150	81	97	27	165	78	49	141	179	58	202	97	80	71	13	115	144	94	72	15	173	31	50	33	79	108	58	32	109	64	
575	773	471	524	370	896	920	1222	603	707	298	590	711	402	271	174	385	316	427	494	84	690	141	262	238	159	697	266	129	250	310	
6	13	2	1	6	15	1	0	4	5	3	46	7	4	0	1	15	2	0	13	0	14	0	2	1	2	2	0	1	3	22	
736	910	550	620	391	1046	997	1271	740	881	353	746	801	478	342	186	485	458	521	553	99	849	172	310	270	236	803	324	160	356	352	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	4	3	1	1	4	2	7	0	15	0	1	3	1	0	1	2	0	5	1	0	3	0	1	0	1	2	3	0	0	0	
107	85	82	102	13	86	59	49	67	49	71	37	74	30	30	12	71	8	28	32	9	14	4	16	16	14	88	9	12	41	21	
33	25	32	32	24	28	38	109	33	29	7	14	30	23	12	11	40	28	37	17	18	23	8	28	4	13	25	19	7	16	24	
577	788	422	472	350	913	872	1081	626	750	272	688	683	416	295	160	366	404	448	496	72	797	158	261	241	204	678	287	140	295	305	
6	5	4	2	0	8	7	6	3	8	3	4	3	3	0	1	3	9	1	2	0	3	1	2	1	1	2	3	0	1	2	
3	2	3	8	1	4	11	11	3	9	0	2	5	2	1	0	2	4	1	2	0	5	1	1	8	3	4	2	1	2	0	
3	1	2	2	1	2	5	8	3	11	0	0	1	2	4	1	1	3	0	1	0	1	0	1	0	0	3	1	0	0	0	
3	0	2	1	1	1	3	0	5	10	0	0	2	1	0	0	0	2	1	2	0	3	0	0	0	0	1	0	0	1	0	
