"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	
2313	2268	2553	2184	2258	2277	2187	2522	2606	2175	2676	2413	2509	2485	2411	2361	2433	2566	2468	2586	2157	2541	2802	2583	
1900	1800	2100	1800	1800	1900	1700	2000	2100	1800	2200	2000	2100	2000	1900	2000	2000	2100	2400	2000	1700	2000	2200	2100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1388	1329	1446	1239	1256	1350	1085	1484	1589	1181	1573	1293	1457	1546	1413	1367	1395	1523	1468	1316	1312	1467	1713	1638	
84	74	46	68	69	46	76	35	42	37	29	52	41	45	63	49	41	41	76	75	46	44	58	43	
428	397	608	493	475	504	539	481	469	582	598	655	602	409	424	584	564	536	856	609	342	489	429	419	
84	74	46	67	69	46	76	35	42	37	29	52	41	45	63	49	41	41	76	75	46	44	58	43	
1388	1329	1442	1239	1254	1345	1081	1484	1587	1180	1573	1293	1456	1545	1410	1367	1394	1523	1462	1315	1312	1466	1713	1638	
16	45	15	14	12	14	16	32	13	14	32	20	20	19	27	27	14	31	26	26	14	18	29	23	
1456	1358	1473	1292	1311	1377	1141	1487	1616	1203	1570	1325	1477	1571	1446	1389	1421	1533	1512	1364	1344	1492	1742	1658	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

22	7	11	18	19	6	13	10	12	10	9	19	16	6	18	7	7	11	9	11	6	8	20	14	
166	159	167	151	143	146	139	191	185	133	204	153	186	201	186	173	158	152	146	163	142	165	170	233	
60	79	67	72	82	78	51	65	112	84	83	65	86	78	89	74	72	90	109	95	75	76	79	96	
1075	993	1094	962	967	1050	857	1112	1173	892	1159	985	1084	1147	1038	1018	1089	1161	1127	990	1022	1119	1323	1207	
66	52	47	35	45	37	21	34	55	28	54	39	44	56	51	47	39	47	46	47	34	55	64	33	
6	8	10	4	5	10	14	24	11	9	14	15	13	19	10	11	8	12	18	11	14	14	18	14	
17	16	26	17	14	16	11	17	22	14	14	16	19	25	20	14	18	21	19	16	9	30	36	31	
44	44	51	33	36	34	35	34	46	33	33	33	29	39	34	45	30	39	38	31	42	25	32	30	
