"УИК №966"	"УИК №967"	"УИК №968"	"УИК №969"	"УИК №970"	"УИК №971"	"УИК №972"	"УИК №973"	"УИК №974"	"УИК №975"	"УИК №976"	"УИК №977"	"УИК №978"	"УИК №979"	"УИК №980"	"УИК №981"	"УИК №982"	"УИК №983"	"УИК №984"	"УИК №985"	"УИК №986"	"УИК №987"	"УИК №988"	"УИК №989"	"УИК №990"	"УИК №991"	"УИК №992"	"УИК №993"	"УИК №994"	"УИК №995"	"УИК №996"	"УИК №997"	"УИК №998"	
711	162	214	152	739	225	624	158	177	955	305	129	273	386	207	381	72	122	334	310	274	342	1095	105	1334	1367	1393	1338	1348	1343	1342	2236	831	
720	120	210	150	710	210	640	150	170	960	300	120	280	390	200	400	90	110	330	300	270	340	1130	100	1330	1400	1410	1340	1360	1300	1360	2290	810	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
375	91	105	81	373	109	258	52	72	441	137	65	145	159	123	240	24	52	148	141	134	167	590	65	681	775	714	696	732	757	752	1074	414	
31	23	4	16	61	14	56	16	13	52	38	8	22	40	6	31	3	15	46	38	29	16	28	5	40	17	34	23	33	66	21	75	52	
314	6	101	53	276	87	326	82	85	467	125	47	113	191	71	129	63	43	136	121	107	157	512	30	609	608	662	621	595	477	587	1141	344	
31	23	4	16	61	14	56	16	13	52	38	8	22	40	6	31	3	15	46	38	29	16	28	5	40	17	34	23	33	66	21	75	52	
375	91	105	81	373	109	258	52	72	441	137	65	145	159	123	240	24	52	148	141	134	167	590	65	681	775	714	696	732	757	752	1074	414	
5	2	0	3	3	2	1	0	0	6	2	0	1	2	2	2	0	0	0	1	1	0	2	0	11	7	6	8	8	11	6	7	4	
401	112	109	94	431	121	313	68	85	487	173	73	166	197	127	269	27	67	194	178	162	183	616	70	710	785	742	711	757	812	767	1142	462	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	0	0	2	4	4	1	0	0	2	1	0	2	3	0	2	0	1	2	3	0	1	4	1	7	5	6	0	4	7	6	13	5	
42	6	21	14	40	15	52	6	6	61	11	3	13	30	11	21	2	3	18	22	14	22	81	11	118	140	123	111	135	123	116	177	73	
53	9	7	8	44	11	24	6	2	49	13	14	18	22	8	19	5	10	15	28	16	21	56	4	89	83	84	73	66	86	82	115	53	
285	94	80	69	328	90	226	55	76	370	145	55	131	139	104	223	20	53	151	120	129	135	457	51	471	535	500	499	525	566	542	803	319	
8	2	0	1	7	1	3	0	0	3	0	0	1	2	1	3	0	0	4	4	0	1	6	0	9	9	7	9	10	11	9	14	2	
6	0	0	0	6	0	6	0	0	0	3	1	1	0	1	1	0	0	3	1	0	1	7	0	2	8	4	6	8	5	4	10	2	
2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	3	1	4	1	7	5	11	4	2	11	6	3	6	
2	1	1	0	2	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	1	2	7	0	7	9	7	3	2	7	2	
