"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №3484"	"УИК №3485"	
886	1896	1162	1612	1781	1934	1896	2109	1861	1870	1519	2328	1767	1401	2277	2320	2015	2105	2063	2230	1770	2437	2339	2117	2060	2124	2541	1786	1195	1488	2061	1639	1538	2310	1738	2431	2108	2325	2394	2233	2355	2288	1790	1926	1894	1943	1809	1895	2298	2365	2033	2573	1955	2239	2093	2336	2426	2162	2448	2230	2363	2357	2086	1962	2054	1895	2132	1942	1685	2288	1915	2546	2425	2451	2667	2220	2165	2606	2881	1508	466	2745	432	587	415	2036	1930	
750	1600	1000	1800	1650	1700	1700	1750	1700	1700	1300	1700	1550	1250	2000	2100	1800	1850	1850	2000	1550	2200	2100	1950	1800	1950	2300	1600	1100	1100	1850	1500	1350	2050	1550	2150	1850	2050	2150	2100	2050	2000	1550	1750	1700	1700	1650	1700	2100	2100	1900	2250	1800	2050	1900	2100	2150	1950	2100	2000	2150	2050	1850	1800	1850	1650	1900	1750	1500	2050	1750	2600	2150	2300	2300	2050	1900	2350	2500	1200	400	2400	432	587	415	1950	1800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
701	1514	733	1569	1382	1602	1044	1617	1416	1360	1071	1202	1149	1080	1737	1887	1472	1590	1636	1615	1399	2055	1713	1874	1402	1657	1316	1481	579	1072	1728	1307	1190	1841	1453	1844	1618	1457	1645	1538	1878	1747	1419	1442	1373	1510	1393	1494	1765	1797	1598	1992	1473	1734	1411	1869	2070	1783	2006	1423	1911	1968	1648	1152	1289	1066	1252	1547	1300	2000	1056	1501	1923	2111	1882	1690	1708	1550	2262	1194	384	2016	340	523	388	1555	1359	
9	12	33	43	35	51	51	44	72	54	47	311	44	16	27	44	24	52	49	80	16	41	68	24	42	50	43	24	7	4	45	15	10	53	32	41	48	55	176	117	25	40	24	21	34	23	35	21	22	32	17	7	13	12	16	20	27	10	20	25	27	38	15	11	19	7	13	19	14	10	16	30	22	15	19	29	26	14	6	5	16	182	92	64	27	23	42	
40	74	234	188	233	47	605	89	212	286	182	187	357	154	236	169	304	208	165	305	135	104	319	52	356	243	941	95	514	24	77	178	150	156	65	265	184	538	329	445	147	213	107	287	293	167	222	185	313	271	285	251	314	304	473	211	53	157	74	552	212	44	187	637	542	577	635	184	186	40	678	1069	205	174	399	331	166	786	232	1	0	202	0	0	0	372	399	
9	12	33	43	35	51	51	44	72	54	47	311	44	16	27	44	24	52	49	80	16	41	68	24	42	50	43	24	7	4	45	15	10	53	32	41	48	55	176	117	25	40	24	21	34	23	35	21	22	32	17	7	13	12	16	20	19	10	20	25	27	38	15	11	19	7	13	19	14	10	16	30	22	15	19	29	26	14	6	5	16	182	92	64	27	23	42	
701	1514	733	1569	1382	1602	1044	1617	1416	1360	1071	1202	1149	1080	1737	1887	1472	1590	1636	1615	1399	2055	1713	1874	1402	1657	1316	1481	579	1072	1728	1292	1190	1841	1453	1844	1618	1457	1645	1538	1878	1747	1419	1442	1373	1510	1393	1494	1765	1797	1598	1992	1473	1734	1411	1869	2070	1783	2006	1423	1911	1968	1648	1152	1289	1066	1251	1547	1300	2000	1056	1501	1923	2111	1882	1690	1708	1550	2262	1194	384	2016	340	523	388	1555	1359	
7	15	7	5	9	14	0	1	0	4	14	14	3	13	6	1	21	5	15	21	18	0	24	0	20	8	23	1	10	14	14	0	20	0	2	23	18	11	10	1	32	18	1	23	16	10	0	2	14	0	17	31	16	6	35	12	16	0	28	19	4	3	0	20	21	4	18	3	16	0	14	25	19	0	0	24	29	9	15	8	0	2	10	17	0	0	18	
703	1511	759	1607	1408	1639	1095	1660	1488	1410	1104	1499	1190	1083	1758	1930	1475	1637	1670	1674	1397	2096	1757	1898	1424	1699	1336	1504	576	1062	1759	1307	1180	1894	1483	1862	1648	1501	1811	1654	1871	1769	1442	1440	1391	1523	1428	1513	1773	1829	1598	1968	1470	1740	1392	1877	2073	1793	1998	1429	1934	2003	1663	1143	1287	1069	1246	1563	1298	2010	1058	1506	1926	2126	1901	1695	1705	1555	2253	1191	400	2196	422	570	415	1578	1383	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	7	8	10	6	16	7	37	29	7	7	11	7	27	16	4	8	5	15	11	7	29	17	5	10	9	24	5	3	3	9	0	7	23	7	11	15	12	6	5	16	16	3	30	8	4	32	28	12	27	6	45	19	4	13	6	17	11	3	8	8	6	10	6	9	3	10	2	8	40	7	11	39	13	21	5	15	11	4	3	0	18	2	2	1	6	9	
101	210	113	136	39	171	94	141	135	70	138	249	107	81	272	194	150	160	210	190	143	138	218	189	131	121	240	73	78	156	136	105	185	95	115	210	122	205	250	232	298	92	65	81	171	168	98	77	135	168	74	169	112	174	94	148	205	97	177	150	117	60	209	180	169	172	206	167	173	198	160	305	97	250	55	246	221	256	199	317	69	189	29	9	19	150	310	
31	65	47	55	83	48	60	156	133	141	52	74	111	109	84	234	70	144	67	68	146	123	70	175	61	206	84	125	43	59	111	157	64	228	141	85	57	82	212	167	91	98	74	105	57	83	103	98	188	196	178	138	201	85	71	179	109	83	83	64	155	120	55	83	87	21	73	113	63	59	64	80	156	107	186	90	67	111	87	42	31	203	19	52	21	72	53	
524	1148	526	1318	1239	1321	844	1223	1116	1104	831	1028	909	811	1278	1486	1175	1244	1282	1314	1077	1736	1355	1508	1155	1298	910	1212	419	802	1470	941	860	1399	1190	1457	1388	1086	1325	1192	1328	1443	1211	1067	1065	1183	1085	1178	1332	1398	1272	1462	1087	1399	1143	1409	1658	1521	1648	1148	1567	1785	1334	805	944	859	875	1265	1001	1709	769	1015	1478	1720	1541	1293	1323	1026	1829	756	288	1685	359	490	366	1277	929	
9	39	18	34	9	28	41	11	37	43	31	57	22	20	35	3	21	39	34	44	6	22	44	7	33	26	33	21	19	15	12	65	25	19	7	37	29	37	5	15	67	39	36	29	39	37	32	47	34	17	23	65	8	43	24	91	34	19	31	28	37	12	24	27	27	5	35	5	17	1	28	50	17	15	35	37	35	97	68	29	1	7	5	3	2	26	37	
8	12	8	15	5	22	11	43	15	5	10	11	13	9	20	2	14	7	10	8	4	14	10	4	7	10	12	24	6	8	5	0	6	26	5	21	12	24	3	16	17	15	9	57	8	12	27	21	23	11	15	26	6	6	11	12	12	16	15	9	14	3	16	12	14	4	12	2	9	1	12	10	41	9	24	7	9	9	12	5	0	24	0	3	4	6	12	
11	6	17	9	9	13	10	29	8	10	21	27	9	11	16	3	20	8	15	18	6	15	17	2	13	12	9	12	4	6	7	13	10	76	10	14	12	24	7	15	19	23	12	53	12	16	28	30	15	5	11	27	21	15	12	17	13	24	15	11	12	9	3	19	15	2	13	3	12	1	6	15	45	7	19	7	22	14	29	10	0	57	4	6	2	12	13	
11	24	22	30	18	20	28	20	15	30	14	42	12	15	37	4	17	30	37	21	8	19	26	8	14	17	24	32	4	13	9	26	23	28	8	27	13	31	3	12	35	43	32	18	31	20	23	34	34	7	19	36	16	14	24	15	25	22	26	11	24	8	12	11	22	3	22	6	15	1	12	20	53	5	20	10	13	31	25	29	11	13	4	5	0	29	20	
