"УИК №4101"	"УИК №4102"	"УИК №4103"	"УИК №4104"	"УИК №4105"	"УИК №4106"	"УИК №4107"	"УИК №4108"	"УИК №4109"	"УИК №4110"	"УИК №4111"	"УИК №4112"	"УИК №4113"	"УИК №4114"	"УИК №4115"	"УИК №4116"	"УИК №4117"	"УИК №4118"	"УИК №4119"	"УИК №4120"	"УИК №4121"	"УИК №4122"	
434	604	284	828	182	106	475	251	266	349	690	745	181	362	103	182	83	477	179	1249	1072	1100	
536	719	294	947	193	120	516	266	313	377	773	783	198	436	105	189	88	523	191	1313	1113	1157	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
348	528	269	717	157	89	410	220	220	325	542	643	164	303	95	169	65	431	131	1130	963	1006	
72	58	15	106	21	14	47	28	42	21	144	89	12	58	7	10	12	36	47	113	106	93	
116	133	10	124	15	17	59	18	51	31	87	51	22	75	3	10	11	56	13	70	44	58	
72	58	15	106	21	14	47	28	42	21	144	89	12	58	7	10	12	36	47	113	106	93	
348	528	269	717	157	89	410	220	220	325	542	643	164	303	95	169	65	431	131	1130	963	1006	
3	11	2	2	0	2	2	1	2	5	0	3	0	5	0	0	0	4	0	2	2	12	
417	575	282	821	178	101	455	247	260	341	686	729	176	356	102	179	77	463	178	1241	1067	1087	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	3	0	3	0	0	4	0	0	2	0	5	1	0	0	0	0	3	0	4	5	3	
36	32	3	47	8	14	36	3	20	15	29	48	7	2	1	8	22	39	4	71	71	15	
26	40	4	37	15	6	16	3	13	16	35	32	12	3	1	8	1	30	9	73	58	66	
345	496	272	716	150	79	389	239	226	299	617	632	154	349	98	163	47	385	163	1069	916	970	
2	2	2	10	2	0	5	1	1	7	5	3	1	1	0	0	3	4	1	6	11	13	
1	0	1	3	3	1	3	0	0	0	0	2	0	0	1	0	2	1	1	8	3	12	
4	2	0	2	0	1	2	1	0	2	0	4	1	1	0	0	2	1	0	8	2	5	
1	0	0	3	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	2	1	3	
