"УИК №192"	"УИК №194"	"УИК №196"	"УИК №198"	"УИК №199"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №206"	"УИК №207"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	
779	236	428	741	621	1327	1203	865	1583	915	513	536	885	250	954	91	
746	227	398	713	593	1250	1115	800	1476	832	485	512	814	236	900	104	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
374	128	273	416	291	703	740	473	745	460	257	335	491	148	535	39	
40	35	19	26	57	35	32	17	32	58	43	28	76	12	21	4	
332	64	106	271	245	511	343	310	699	314	185	149	247	76	344	61	
40	35	19	26	57	35	32	17	32	58	43	28	76	12	21	4	
374	128	273	416	291	702	740	473	745	460	257	335	491	148	535	39	
5	1	6	7	12	12	12	6	26	10	4	4	10	2	9	0	
409	162	286	435	336	725	760	484	751	508	296	359	557	158	547	43	
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	1	3	2	3	6	6	4	7	11	3	1	9	1	4	0	
75	9	39	71	69	155	157	114	159	91	42	55	87	26	85	5	
48	8	38	58	38	87	63	36	83	69	32	47	75	12	69	5	
269	140	193	289	221	446	505	314	478	322	212	245	364	115	375	33	
3	0	3	6	1	7	8	2	6	6	5	4	4	1	5	0	
1	1	3	3	3	6	7	8	8	2	2	2	7	2	2	0	
4	2	2	2	1	10	10	5	5	3	0	2	2	0	4	0	
2	1	5	4	0	8	4	1	5	4	0	3	9	1	3	0	
