"УИК №3201"	"УИК №3202"	"УИК №3203"	"УИК №3204"	"УИК №3205"	"УИК №3206"	"УИК №3207"	"УИК №3208"	"УИК №3209"	"УИК №3210"	"УИК №3211"	"УИК №3212"	"УИК №3213"	"УИК №3214"	"УИК №3215"	"УИК №3216"	"УИК №3217"	"УИК №3218"	"УИК №3219"	
1910	510	548	742	1018	964	595	26	39	454	154	51	170	353	606	105	647	165	51	
1990	530	603	770	1060	1000	610	35	50	487	165	60	175	365	655	140	660	175	70	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
810	185	188	270	429	354	236	17	29	263	98	35	89	179	301	83	333	74	46	
61	38	20	32	35	27	47	0	5	25	8	8	7	13	29	2	29	11	0	
1119	307	395	468	596	619	327	18	16	199	59	17	79	173	325	55	298	90	24	
61	38	20	32	35	27	47	0	5	25	8	8	7	13	29	2	29	11	0	
810	185	188	270	429	354	236	17	29	263	98	35	89	179	301	83	333	74	46	
12	2	4	6	3	3	4	0	0	0	0	1	1	4	3	0	3	1	1	
859	221	204	296	461	378	279	17	34	288	106	42	95	188	327	85	359	84	45	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	3	2	0	0	1	2	0	0	4	0	0	0	1	2	0	2	0	1	
161	8	13	19	39	41	19	0	1	27	1	2	5	11	32	0	44	4	1	
91	14	19	30	48	35	30	5	1	31	16	1	7	17	53	10	50	6	8	
575	191	164	233	362	291	221	12	30	213	89	39	80	153	235	74	261	74	35	
7	3	1	1	2	2	3	0	1	2	0	0	1	4	4	1	0	0	0	
8	1	2	7	5	4	1	0	1	9	0	0	0	2	1	0	1	0	0	
4	1	2	3	3	4	2	0	0	0	0	0	2	0	0	0	1	0	0	
0	0	1	3	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	
