"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №736"	
714	1138	1404	705	1586	2158	1430	2075	1607	1418	1924	1741	1834	912	1506	1591	1245	856	1556	755	1211	1759	642	378	1637	1443	2112	338	2195	2378	2264	2221	376	1940	2152	1071	2229	1944	1496	1557	687	1321	1828	1197	1424	1277	1338	890	1403	2193	1201	1110	2031	594	1827	1262	1582	
700	900	1100	700	1300	1800	1200	1700	1300	1000	1600	1200	1150	700	1200	1200	1000	750	1350	600	1000	1400	500	300	1300	1200	1700	250	2000	2000	2000	2000	400	1600	2000	900	2000	1500	1300	1300	600	1000	1500	1000	1200	1000	1000	600	1200	2000	1000	900	2000	600	1500	900	1300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
587	707	873	622	918	1357	722	1130	870	781	1043	889	1081	616	808	939	843	639	1080	422	652	1024	353	235	858	673	1105	192	1327	1255	1163	1106	284	1046	1324	608	1399	1158	888	888	386	859	1056	744	871	772	771	516	821	1243	705	696	1246	500	945	687	998	
1	16	26	0	30	41	209	28	21	25	50	190	7	21	54	31	7	5	7	10	30	23	17	8	112	44	55	10	34	40	21	23	40	25	38	19	51	29	28	21	15	22	19	20	50	31	22	8	67	94	27	26	25	0	18	133	12	
112	177	201	78	352	402	269	542	409	194	507	121	62	63	338	230	150	106	263	168	318	353	130	57	330	483	540	48	639	705	816	871	76	529	638	273	550	313	384	391	199	119	425	236	279	197	207	76	312	663	268	178	729	100	537	80	290	
1	16	26	0	30	41	209	28	21	25	50	190	7	21	54	31	7	5	7	10	30	23	17	8	112	44	55	10	34	40	21	23	40	25	38	19	51	29	28	21	15	22	19	20	50	31	22	8	67	94	27	26	25	0	18	133	12	
587	707	873	622	918	1357	722	1130	868	781	1043	888	1080	616	808	939	843	638	1080	422	652	1024	353	235	858	673	1105	192	1327	1252	1163	1106	284	1046	1322	608	1399	1158	887	888	386	859	1056	743	871	772	771	516	821	1242	705	696	1246	500	945	687	998	
13	8	5	12	12	17	18	18	9	5	9	7	17	8	11	11	16	9	21	3	12	15	4	2	5	3	9	0	21	18	20	14	2	14	13	5	17	15	8	10	4	6	20	8	11	9	4	6	5	21	12	7	12	15	9	15	14	
575	715	894	610	936	1381	913	1140	880	801	1084	1071	1070	629	851	959	834	634	1066	429	670	1032	366	241	965	714	1151	202	1340	1274	1164	1115	322	1057	1347	622	1433	1172	907	899	397	875	1055	755	910	794	789	518	883	1315	720	715	1259	485	954	805	996	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	1	7	7	10	7	9	3	6	10	9	6	9	5	4	7	9	9	11	0	5	12	1	2	4	8	4	0	11	5	9	6	5	9	5	3	11	9	6	9	2	10	12	9	8	6	5	2	6	15	1	2	11	3	2	9	8	
116	114	141	172	150	206	148	188	144	134	163	134	194	103	123	163	161	131	240	70	95	162	42	47	139	91	237	17	209	199	176	181	39	206	188	93	244	182	137	120	74	126	141	101	138	121	120	85	123	179	116	121	221	141	158	121	212	
19	33	33	19	45	65	41	58	45	45	64	63	48	26	37	35	29	21	62	23	34	43	27	16	59	42	64	16	63	80	67	73	18	50	59	24	74	49	56	48	37	28	46	31	35	36	39	17	30	63	47	42	63	17	38	34	41	
355	488	597	333	640	945	637	777	621	553	755	796	723	433	624	666	541	407	653	312	478	687	287	164	727	528	802	161	954	919	825	787	251	708	968	463	990	842	629	641	254	634	753	553	645	560	577	373	624	921	505	517	879	266	722	543	654	
45	41	58	43	41	64	37	53	30	24	44	36	59	24	31	31	44	33	44	12	28	63	6	5	23	29	23	5	42	33	41	41	4	44	62	22	51	32	29	48	12	31	38	30	40	32	16	20	47	69	25	16	36	33	18	45	35	
3	4	3	2	4	13	3	7	5	6	5	7	5	4	7	8	6	5	12	1	0	7	1	1	2	5	9	1	12	6	12	7	0	1	5	1	10	5	3	2	4	8	7	3	4	4	4	6	10	10	6	7	4	2	3	5	4	
10	17	28	16	17	36	12	14	12	12	10	9	12	10	9	15	13	13	16	7	13	20	1	3	5	5	8	0	17	14	10	6	1	21	15	7	18	18	18	15	4	7	19	7	15	16	8	8	20	20	6	2	12	11	5	25	20	
20	17	27	18	29	45	26	40	17	17	34	20	20	24	16	34	31	15	28	4	17	38	1	3	6	6	4	2	32	18	24	14	4	18	45	9	35	35	29	16	10	31	39	21	25	19	20	7	23	38	14	8	33	12	8	23	22	
