"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	
661	1546	1441	990	1196	353	1237	586	174	304	430	1255	771	436	399	
650	1620	1470	1200	1650	350	1300	600	180	300	400	1100	700	430	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
628	1369	1163	971	1168	321	1014	570	161	254	318	1049	662	370	370	
3	24	84	19	28	10	13	16	5	17	59	42	26	22	4	
19	227	223	210	454	19	273	14	14	29	23	9	12	38	26	
3	24	84	19	28	10	13	16	5	17	59	42	26	22	4	
628	1369	1163	971	1168	321	1014	570	161	254	318	1049	662	370	369	
0	12	11	6	19	0	7	0	0	0	1	13	0	0	0	
631	1381	1236	984	1177	331	1020	586	166	271	376	1078	688	392	373	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	8	5	4	2	0	0	0	0	0	0	5	0	2	0	
11	164	151	57	129	28	61	23	1	6	20	15	8	14	15	
19	65	47	38	36	18	28	0	2	10	13	10	5	12	0	
584	1044	979	841	944	266	884	556	163	251	340	955	603	361	355	
3	7	3	5	4	0	1	0	0	2	0	5	0	0	1	
5	77	46	29	53	19	41	7	0	0	1	85	72	1	1	
0	7	2	8	4	0	3	0	0	0	2	1	0	2	1	
5	9	3	2	5	0	2	0	0	2	0	2	0	0	0	
