"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1114"	
222	173	131	422	905	936	1275	149	966	252	895	260	182	129	
229	178	149	437	940	940	1370	160	1000	255	976	277	210	139	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
197	131	115	355	645	734	978	124	791	182	736	214	139	91	
21	26	15	65	105	67	63	17	90	28	92	43	22	37	
11	21	19	17	190	139	329	19	119	45	148	20	49	11	
21	26	15	65	105	67	63	17	90	28	92	43	22	37	
197	131	115	355	645	734	978	124	791	182	736	214	139	91	
1	0	1	4	11	8	11	1	12	2	13	0	1	0	
217	157	129	416	739	793	1030	140	869	208	815	257	160	128	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	0	0	2	2	3	3	0	3	1	3	1	1	0	
28	21	9	49	121	136	167	32	237	44	119	39	21	4	
2	7	9	7	21	34	21	1	15	4	27	7	5	3	
183	127	110	350	579	609	818	106	605	157	643	205	129	121	
0	1	0	0	5	7	10	0	3	0	13	2	1	0	
1	0	1	4	3	3	5	1	4	2	3	3	2	0	
0	0	0	3	6	0	3	0	2	0	3	0	1	0	
0	1	0	1	2	1	3	0	0	0	4	0	0	0	
