"УИК №1601"	"УИК №1602"	"УИК №1603"	"УИК №1604"	"УИК №1605"	"УИК №1606"	"УИК №1607"	"УИК №1608"	"УИК №1609"	"УИК №1610"	"УИК №1611"	"УИК №1612"	"УИК №1613"	"УИК №1614"	"УИК №1615"	"УИК №1616"	"УИК №1617"	
527	77	264	769	610	215	315	551	295	205	181	1271	1953	362	248	693	599	
476	82	277	733	671	218	281	516	263	217	165	995	1665	344	274	700	550	
10	0	0	41	0	0	28	83	0	0	11	0	0	28	26	0	0	
255	52	156	447	331	135	185	217	158	109	87	688	1028	231	141	650	534	
40	2	4	45	33	14	17	33	19	10	4	13	40	10	12	0	0	
171	28	117	200	307	69	51	183	86	98	63	294	597	75	95	50	16	
50	2	4	86	33	14	45	116	19	10	15	13	40	38	38	0	0	
255	52	156	447	331	135	185	217	158	109	87	688	1028	231	141	650	534	
3	0	3	4	10	2	6	2	0	0	3	6	11	9	0	20	2	
302	54	157	529	354	147	224	331	177	119	99	695	1057	260	179	630	532	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	0	1	2	1	1	0	3	0	1	1	4	1	0	1	3	
24	4	5	149	61	14	21	48	37	31	33	193	286	23	15	119	105	
64	2	14	63	38	18	30	51	23	15	9	70	91	58	20	136	121	
206	48	125	302	244	113	166	220	113	70	56	418	657	174	141	357	285	
1	0	7	5	4	0	3	4	0	1	0	4	6	3	2	5	7	
4	0	2	1	3	0	0	2	1	1	0	6	8	0	1	7	3	
1	0	1	5	1	0	3	3	0	0	0	3	2	1	0	2	0	
0	0	3	3	1	1	0	3	0	1	0	0	3	0	0	3	8	
