"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	"УИК №681"	"УИК №682"	"УИК №683"	"УИК №684"	"УИК №685"	"УИК №686"	"УИК №687"	"УИК №688"	"УИК №689"	"УИК №690"	"УИК №691"	"УИК №692"	"УИК №693"	"УИК №694"	"УИК №695"	"УИК №696"	"УИК №697"	
450	303	243	1023	404	574	629	625	668	354	533	406	305	324	1076	984	949	1127	1143	1233	866	363	211	124	493	274	
482	311	238	1026	405	567	672	649	699	344	545	422	316	325	1121	1000	959	1157	1163	1251	910	393	223	129	483	288	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
328	198	169	692	178	332	340	419	335	110	246	287	244	169	734	862	749	582	879	956	692	265	138	74	356	176	
48	51	51	191	170	156	85	115	214	185	120	36	46	111	202	57	138	139	180	86	79	70	29	27	64	68	
106	62	18	143	57	79	247	115	150	49	179	99	26	45	185	81	72	436	104	209	139	58	56	28	63	44	
48	51	51	191	170	156	85	115	214	185	120	36	46	111	202	57	138	139	180	86	79	70	29	27	64	68	
328	198	169	692	178	332	340	419	335	110	246	287	244	169	734	862	749	582	879	956	692	265	138	74	356	176	
1	2	2	9	3	5	9	5	0	0	3	6	0	0	6	12	3	14	11	9	1	2	2	0	0	5	
375	247	218	874	345	483	416	529	549	295	363	317	290	280	930	907	884	707	1048	1033	770	333	165	101	420	239	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	1	0	2	3	3	2	2	2	0	0	2	0	1	2	4	3	7	3	6	2	1	1	0	0	1	
24	30	45	91	18	35	37	30	54	8	25	28	52	44	74	63	49	79	75	83	80	15	21	17	57	5	
22	17	13	46	9	22	33	20	40	13	36	14	14	10	31	42	38	48	50	51	31	17	6	6	10	19	
314	195	158	726	313	417	338	473	448	270	295	264	222	221	806	787	781	554	893	879	651	296	132	75	348	213	
3	2	2	3	2	1	4	1	2	1	4	7	0	0	6	4	4	7	11	5	1	2	3	2	1	1	
7	2	0	3	0	5	0	2	2	3	1	0	2	2	6	3	4	5	8	6	1	1	0	1	1	0	
1	0	0	1	0	0	1	1	0	0	2	2	0	2	5	2	2	4	1	1	3	1	0	0	0	0	
1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	2	3	3	7	2	1	0	2	0	3	0	
