"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	"УИК №427"	"УИК №428"	"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	
2785	2541	2431	2419	3019	2612	2532	2602	2590	2003	2559	2672	2058	2361	2704	2528	2457	2612	1907	2182	2196	2346	1760	2640	2538	2790	2734	2663	2530	2085	2463	2443	2451	3027	2346	2261	2450	2060	2553	2370	2395	2362	2165	2646	1893	2264	1600	2010	2510	2027	1022	1573	1422	912	1156	
2500	2500	2500	2500	2500	2500	2500	2500	2000	2500	2500	3000	2000	2500	2500	2200	2500	2000	2000	2000	2000	2000	2000	2500	2500	2500	2500	2500	2500	2000	2500	2500	2500	3000	2500	2500	2500	2000	2500	2000	2500	2500	2500	2500	2000	2000	1500	2000	2500	2000	2000	1500	1420	912	1150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1276	1817	1578	1658	1508	1407	1431	1710	1848	1250	1192	2124	1448	1678	1549	1508	1303	1535	1374	1374	1441	1476	1248	2267	1682	1735	1633	1991	1710	1659	1697	1599	1455	1903	1752	1700	1733	1648	1395	1373	1847	1962	1456	1830	1457	1531	1287	1083	2057	1134	995	1297	318	707	288	
23	38	62	60	32	33	36	67	42	29	26	43	123	25	18	56	35	35	50	33	48	39	28	33	30	41	48	25	24	20	28	22	19	31	25	25	38	48	39	52	69	30	31	32	73	87	20	41	16	55	27	51	1098	170	776	
1201	645	860	782	960	1060	1033	723	110	1221	1282	833	429	797	933	636	1162	430	576	593	511	485	724	200	788	724	819	484	766	321	775	879	1026	1066	723	775	729	304	1066	575	584	508	1013	638	470	382	193	876	427	811	978	152	4	35	86	
23	38	62	60	32	33	36	67	42	29	26	43	123	25	18	56	35	35	50	33	48	39	28	33	30	41	48	25	24	20	28	22	19	31	25	25	38	48	39	52	69	30	31	32	73	87	20	41	16	55	27	51	1098	170	776	
1276	1817	1578	1658	1508	1399	1431	1710	1822	1250	1192	2124	1448	1676	1549	1508	1303	1535	1374	1374	1441	1476	1248	2267	1682	1735	1631	1966	1710	1659	1697	1599	1455	1903	1752	1700	1733	1648	1395	1373	1847	1962	1456	1830	1457	1529	1287	1083	2057	1134	995	1297	318	707	288	
14	8	26	5	17	9	20	11	9	11	8	9	12	20	10	15	13	8	4	11	16	11	10	10	18	23	28	15	14	11	10	9	19	19	12	5	7	10	12	20	1	14	10	34	0	11	0	7	9	5	4	6	10	10	10	
1285	1847	1614	1713	1523	1423	1447	1766	1855	1268	1210	2158	1559	1681	1557	1549	1325	1562	1420	1396	1473	1504	1266	2290	1694	1753	1651	1976	1720	1668	1715	1612	1455	1915	1765	1720	1764	1686	1422	1405	1915	1978	1477	1828	1530	1605	1307	1117	2064	1184	1018	1342	1406	867	1054	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	

11	13	22	15	15	8	13	13	16	7	12	14	13	15	9	9	17	6	17	19	10	15	6	16	15	12	13	13	15	8	12	12	15	9	6	12	5	8	8	2	3	4	6	10	12	15	3	11	19	4	7	6	3	10	6	
172	186	245	211	165	219	207	202	167	133	171	256	169	231	157	124	165	199	128	185	254	193	114	400	233	113	234	189	208	119	177	195	203	284	117	165	205	136	84	125	115	146	48	160	121	213	104	130	232	89	119	85	116	88	82	
73	68	110	74	74	86	83	75	78	66	66	87	82	132	91	60	54	81	74	70	71	85	36	82	87	48	97	70	98	12	72	91	90	51	68	85	28	55	75	91	67	65	60	112	70	68	112	76	70	24	57	41	57	65	37	
958	1511	1162	1324	1186	1041	1085	1407	1526	991	906	1699	1231	1229	1248	1310	1005	1196	1153	1051	1064	1109	1068	1718	1290	1498	1203	1619	1288	1500	1380	1235	1061	1457	1540	1383	1486	1452	1210	1127	1687	1712	1332	1409	1280	1230	1040	858	1659	1053	816	1183	1182	665	907	
38	32	38	46	36	39	31	29	28	27	25	34	32	33	19	13	31	27	15	32	28	40	22	34	20	34	49	26	43	13	19	32	33	45	20	26	10	8	19	20	19	17	9	70	26	27	9	13	27	4	7	10	22	17	12	
10	9	10	15	6	9	5	11	16	10	8	18	6	10	10	8	13	12	11	8	7	14	4	3	13	15	16	8	12	5	13	15	4	13	4	14	4	3	6	9	2	10	4	26	4	12	6	8	19	5	3	4	2	3	2	
