"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №896"	
1825	2448	1421	1474	1699	1431	1776	1488	1716	1847	2152	1692	1522	1580	1567	1514	1476	1545	1665	1613	312	
1550	2110	1200	1250	1350	1200	1550	1300	1500	1550	1700	1480	1350	1450	1400	1350	1300	1370	1380	1380	315	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1235	1720	794	860	975	898	950	867	984	1075	1333	1071	907	979	962	898	895	756	1091	1005	194	
33	168	87	62	80	56	57	51	69	57	57	55	49	35	50	42	57	31	51	48	118	
282	222	319	328	295	246	543	382	447	418	310	354	394	436	388	410	348	583	238	327	3	
33	168	87	62	80	56	57	51	69	57	57	55	49	35	50	42	57	31	51	48	118	
1235	1715	794	858	973	897	948	867	970	1075	1330	1071	907	979	961	898	895	756	1091	1005	194	
10	30	12	12	12	8	19	14	13	11	13	11	15	13	11	8	8	11	6	8	0	
1258	1853	869	908	1041	945	986	904	1026	1121	1374	1115	941	1001	1000	932	944	776	1136	1045	312	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	12	6	4	3	6	14	5	15	9	7	8	9	11	6	2	5	9	9	7	0	
184	225	111	121	139	111	162	131	126	169	187	168	129	131	113	133	143	80	135	123	28	
96	143	75	81	81	67	58	80	83	80	115	90	67	81	72	70	65	75	97	66	26	
906	1334	642	679	764	721	691	648	747	806	1016	804	701	729	763	687	694	585	837	793	242	
20	66	12	6	26	15	17	10	28	20	21	16	15	25	13	15	16	14	26	13	5	
9	21	3	5	3	7	6	11	4	3	8	6	2	10	6	5	4	1	7	8	3	
14	32	9	8	14	7	15	11	7	13	9	17	5	5	13	5	3	3	10	14	4	
15	20	11	4	11	11	23	8	16	21	11	6	13	9	14	15	14	9	15	21	4	
