"УИК №1182"	"УИК №1183"	"УИК №1184"	"УИК №1185"	"УИК №1186"	"УИК №1187"	"УИК №1188"	"УИК №1189"	"УИК №1190"	"УИК №1191"	"УИК №1192"	"УИК №1193"	"УИК №1194"	"УИК №1195"	"УИК №1196"	"УИК №1197"	"УИК №1198"	"УИК №1199"	"УИК №1200"	"УИК №1201"	"УИК №1202"	"УИК №1203"	"УИК №1204"	"УИК №1205"	"УИК №1206"	"УИК №1207"	"УИК №1208"	"УИК №1209"	"УИК №1210"	"УИК №1211"	"УИК №1212"	"УИК №1213"	"УИК №1214"	"УИК №1215"	"УИК №1216"	"УИК №1217"	"УИК №1218"	"УИК №1219"	"УИК №1220"	"УИК №1221"	"УИК №1222"	"УИК №1223"	"УИК №1224"	"УИК №1225"	"УИК №1226"	"УИК №1227"	"УИК №1228"	"УИК №1229"	"УИК №1230"	"УИК №1231"	"УИК №1232"	"УИК №1242"	
2122	2326	1993	1951	1805	1833	1965	1570	2158	2009	1230	1128	651	1183	1156	584	1221	1195	905	206	780	299	1355	734	200	658	1404	865	466	157	519	294	491	220	177	149	246	124	946	1343	415	100	432	264	504	261	650	261	1303	855	1712	948	
1900	2000	1850	1800	1650	1750	1700	1500	1850	1800	1200	1100	650	1180	1130	585	1200	1150	950	213	790	300	1360	740	195	650	1380	890	460	160	515	285	500	210	166	149	246	110	950	1345	410	100	430	260	500	260	650	250	1280	870	1600	935	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1555	1621	1361	1197	1141	1290	1372	996	1547	1364	882	722	596	797	734	430	742	752	718	158	675	240	1000	599	156	539	1083	766	286	121	431	213	422	175	148	116	213	86	757	1084	364	80	365	169	289	189	408	205	699	696	1176	599	
59	62	83	131	109	40	24	49	58	59	67	113	49	98	123	24	112	94	76	34	50	34	171	98	27	82	195	56	94	19	50	72	49	34	17	27	25	22	72	118	40	17	61	64	102	22	98	36	194	112	48	59	
286	317	406	472	400	420	304	455	245	377	251	265	5	285	273	131	346	304	156	21	65	26	189	43	12	29	102	68	80	20	34	0	29	1	1	6	8	2	121	143	6	3	4	27	109	49	144	9	387	62	376	277	
59	62	83	131	109	40	24	49	58	59	67	113	49	98	123	24	112	94	76	34	50	34	171	98	27	82	195	56	94	19	50	72	49	34	17	27	25	22	72	118	40	17	61	64	102	22	98	36	194	112	48	59	
1555	1621	1361	1197	1141	1289	1372	996	1547	1364	882	722	596	797	733	430	742	752	718	158	675	240	1000	599	156	539	1083	766	286	121	431	213	422	175	148	116	213	86	757	1084	364	80	365	169	289	189	408	205	699	696	1176	599	
23	25	19	18	18	17	21	11	28	14	28	14	5	17	19	14	15	9	17	1	6	2	6	9	2	0	6	10	0	3	1	2	3	1	4	7	3	0	4	11	4	0	3	2	3	2	6	1	0	3	18	10	
1591	1658	1425	1310	1232	1312	1375	1034	1577	1409	921	821	640	878	837	440	839	837	777	191	719	272	1165	688	181	621	1272	812	380	137	480	283	468	208	161	136	235	108	825	1191	400	97	423	231	388	209	500	240	893	805	1206	648	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	9	14	12	13	10	6	6	14	3	4	2	1	4	2	5	6	6	2	0	0	0	4	2	2	5	10	0	0	0	0	0	1	0	1	0	2	2	3	10	0	0	1	3	3	4	0	2	4	7	6	3	
152	197	155	164	151	161	160	133	179	205	148	111	7	80	81	43	74	87	45	28	18	12	78	44	7	44	50	159	25	9	28	16	29	8	18	13	8	9	51	77	31	8	17	14	34	31	50	20	99	60	144	76	
109	138	109	89	85	98	84	71	120	93	76	60	26	76	67	28	74	63	35	13	20	10	69	31	9	44	13	13	15	12	38	21	39	4	6	13	15	5	64	85	18	3	16	10	35	10	39	15	66	25	69	60	
1282	1260	1105	1004	945	1009	1088	793	1198	1046	656	631	601	696	675	360	662	664	680	144	671	244	989	606	162	519	1185	640	332	108	407	239	384	195	134	109	209	89	690	993	346	85	382	193	306	157	398	195	705	699	952	493	
19	15	18	14	13	16	9	8	27	9	13	4	0	5	3	2	8	2	3	1	2	1	8	4	0	4	7	0	3	4	1	1	3	1	1	0	0	1	4	6	0	1	0	5	5	3	7	3	3	7	13	5	
8	14	8	12	9	7	13	13	12	16	14	8	3	9	2	0	5	3	7	5	4	2	5	1	1	1	4	0	4	4	5	3	5	0	1	1	1	1	8	8	4	0	5	4	2	2	0	3	10	1	7	5	
8	15	10	8	11	5	9	6	14	24	4	3	1	5	6	2	7	5	2	0	4	2	9	0	0	1	2	0	1	0	1	1	5	0	0	0	0	0	4	7	0	0	1	1	0	1	5	1	4	4	5	2	
4	10	6	7	5	6	6	4	13	13	6	2	1	3	1	0	3	7	3	0	0	1	3	0	0	3	1	0	0	0	0	2	2	0	0	0	0	1	1	5	1	0	1	1	3	1	1	1	2	2	10	4	
