"УИК №1100"	"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №2641"	"УИК №2642"	"УИК №2643"	
1816	1768	2371	1986	2004	563	799	1110	700	1674	1015	1116	
1700	1700	2300	1950	1950	450	750	1050	650	1600	950	1050	
0	0	0	0	0	0	0	0	0	0	0	0	
1081	1050	1416	1042	1248	299	479	658	452	991	667	657	
45	18	34	20	28	29	30	21	14	14	13	25	
574	632	850	888	674	122	241	371	184	595	270	368	
45	18	34	20	28	29	30	21	14	14	13	25	
1081	1050	1416	1042	1247	299	479	658	452	990	667	657	
17	10	9	17	22	5	7	11	4	10	18	7	
1109	1058	1441	1045	1253	323	502	668	462	994	662	675	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

7	7	13	5	8	1	2	5	2	4	4	4	
135	148	171	92	153	29	62	79	31	138	70	79	
51	62	79	66	56	25	32	38	28	47	43	47	
883	798	1129	838	979	256	388	520	386	780	525	511	
17	29	31	16	18	6	9	15	6	10	9	17	
3	2	5	7	17	2	2	4	0	4	1	1	
7	6	4	8	17	2	2	5	7	4	5	6	
6	6	9	13	5	2	5	2	2	7	5	10	
