"УИК №1244"	"УИК №1245"	"УИК №1246"	"УИК №1247"	"УИК №1248"	"УИК №1249"	"УИК №1250"	"УИК №1251"	"УИК №1252"	"УИК №1253"	"УИК №1254"	"УИК №1255"	"УИК №1256"	"УИК №1257"	"УИК №1258"	"УИК №1259"	"УИК №1260"	"УИК №1261"	"УИК №1262"	"УИК №1263"	"УИК №1264"	"УИК №1265"	"УИК №1266"	"УИК №1267"	"УИК №1268"	"УИК №1269"	"УИК №1270"	"УИК №1271"	"УИК №1272"	"УИК №1273"	"УИК №1274"	"УИК №1275"	"УИК №1276"	"УИК №1277"	"УИК №1278"	"УИК №1279"	"УИК №1280"	"УИК №1281"	"УИК №1282"	"УИК №1283"	"УИК №1284"	"УИК №1285"	"УИК №1286"	"УИК №1287"	"УИК №1288"	"УИК №1289"	"УИК №1290"	"УИК №1291"	"УИК №1292"	"УИК №1293"	"УИК №1294"	"УИК №1295"	"УИК №1296"	"УИК №1297"	"УИК №1298"	"УИК №1299"	"УИК №1300"	"УИК №1301"	"УИК №1302"	"УИК №1303"	"УИК №1304"	"УИК №1305"	"УИК №1306"	"УИК №1307"	"УИК №1308"	"УИК №1309"	"УИК №1725"	"УИК №1726"	"УИК №1727"	"УИК №1728"	"УИК №1729"	"УИК №1730"	"УИК №1731"	"УИК №1732"	"УИК №1733"	"УИК №1734"	"УИК №1735"	"УИК №1736"	"УИК №1737"	"УИК №1738"	"УИК №1739"	"УИК №1740"	"УИК №1741"	
597	200	620	135	301	409	390	421	492	295	1442	816	267	322	886	117	290	200	322	575	432	616	802	503	372	504	191	403	373	444	217	355	464	737	423	1321	188	561	543	346	260	1506	1662	806	292	146	229	118	537	101	75	245	118	47	156	288	321	103	195	348	164	551	999	394	286	199	537	377	575	581	411	144	543	243	537	305	572	645	661	144	169	318	220	
562	188	576	124	281	377	358	395	466	280	1359	781	255	299	841	109	275	188	300	544	398	582	699	478	352	471	180	382	373	386	204	337	435	695	402	1239	173	527	504	319	245	1372	1547	757	274	135	216	137	498	96	74	229	112	45	145	274	306	98	180	328	157	569	1000	373	273	205	497	355	549	546	383	136	509	231	504	291	542	606	627	134	157	329	208	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
515	182	555	118	268	355	281	363	438	251	1092	729	242	274	767	108	230	166	274	520	391	547	682	455	332	448	171	360	315	329	182	319	366	562	360	869	147	478	469	255	82	1337	1520	726	270	130	209	112	476	96	73	223	107	43	126	261	294	90	157	297	132	494	922	333	246	193	450	337	487	508	356	132	482	225	483	287	515	590	618	129	150	284	205	
23	3	19	4	10	14	70	28	20	23	58	48	8	17	68	1	41	15	26	14	5	25	15	13	7	20	3	10	30	57	11	15	27	44	14	34	13	23	19	21	51	20	21	27	4	3	5	0	22	0	0	6	0	0	13	13	3	4	23	25	25	41	65	38	27	6	15	13	32	22	16	1	24	6	10	0	17	8	7	4	4	7	3	
24	3	2	2	3	8	7	4	8	6	209	4	5	8	6	0	4	7	0	10	2	10	2	10	13	3	6	12	28	0	11	3	42	89	28	336	13	26	16	43	112	15	6	4	0	2	2	25	0	0	1	0	5	2	6	0	9	4	0	6	0	34	13	2	0	6	32	5	30	16	11	3	3	0	11	4	10	8	2	1	3	38	0	
23	3	19	4	10	14	70	28	20	23	58	48	8	17	68	1	41	15	26	14	5	25	15	13	7	20	3	10	30	57	11	15	27	44	14	34	13	23	19	21	51	20	21	27	4	3	5	0	22	0	0	6	0	0	13	13	3	4	23	25	25	41	65	38	27	6	15	13	32	22	16	1	24	6	10	0	17	8	7	4	4	7	3	
515	182	555	118	268	355	281	363	438	251	1092	729	242	274	767	108	230	166	274	520	391	547	682	455	332	448	171	360	315	329	182	319	366	562	360	869	147	478	469	255	82	1337	1520	726	270	130	209	112	476	96	73	223	107	43	126	261	294	90	157	297	132	494	922	333	246	193	450	337	487	508	356	132	482	225	483	287	515	590	618	129	150	284	205	
3	0	9	0	0	1	0	5	0	0	13	6	0	5	0	0	1	1	0	6	3	8	2	8	6	5	0	2	3	3	1	0	8	3	6	28	3	3	2	0	0	0	9	0	4	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	8	9	0	2	2	0	3	9	4	11	13	0	0	0	6	1	
535	185	565	122	278	368	351	386	458	274	1137	771	250	286	835	109	270	180	300	528	393	564	695	460	333	463	174	368	342	383	192	334	385	603	368	875	157	498	486	276	133	1357	1532	753	270	133	211	112	498	96	73	228	107	43	139	274	297	94	180	320	157	535	987	369	273	199	463	342	510	530	370	131	506	228	484	283	521	585	625	133	154	285	207	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	2	0	0	2	0	1	0	0	6	1	3	1	6	0	0	1	0	1	0	4	0	1	3	1	0	0	1	0	1	0	2	5	3	6	0	1	1	4	6	0	3	3	0	0	1	1	2	0	0	1	0	3	2	1	0	1	0	1	1	1	2	1	0	0	0	0	4	4	0	0	0	1	1	0	1	1	0	0	1	1	0	
20	10	29	7	14	29	19	16	9	11	144	59	36	27	38	5	16	13	16	45	20	66	51	38	26	15	3	10	9	8	9	10	57	45	54	123	10	20	19	28	11	45	61	39	14	9	15	4	29	12	4	13	2	2	3	25	17	5	10	16	10	25	45	23	31	12	27	20	14	15	24	9	26	10	20	12	6	5	9	6	3	34	3	
17	8	12	4	7	45	10	13	4	21	141	21	36	28	18	3	6	17	14	40	8	61	66	57	48	15	2	7	14	10	13	7	44	98	31	100	15	15	18	18	18	17	44	26	5	6	10	3	17	1	4	17	7	3	15	33	10	3	8	10	5	13	42	26	19	6	17	7	12	19	7	3	13	3	17	8	3	4	5	4	2	36	1	
485	167	517	109	251	284	315	352	443	240	811	674	171	211	752	99	246	144	270	432	355	421	570	353	250	428	168	348	315	361	167	314	270	433	270	624	128	451	437	222	94	1292	1421	684	249	115	185	100	449	81	65	193	97	32	117	210	268	85	162	290	138	487	891	303	216	181	419	315	468	478	335	118	456	209	445	259	506	571	611	120	147	207	201	
3	0	1	2	2	3	1	1	1	1	22	9	0	2	3	0	0	5	0	6	5	4	3	3	2	2	1	1	1	1	0	1	3	8	5	12	1	6	4	2	0	3	1	1	1	0	0	2	0	2	0	0	0	1	1	2	1	0	0	1	1	4	2	6	4	0	0	0	4	7	1	0	5	0	0	1	2	2	0	1	1	5	0	
3	0	1	0	2	3	2	1	0	1	4	2	0	12	1	2	1	0	0	2	2	2	0	2	3	1	0	1	1	1	1	1	2	6	1	3	0	2	3	1	0	0	0	0	1	0	0	0	0	0	0	4	0	1	0	1	0	0	0	1	1	2	2	3	3	0	0	0	2	1	1	1	0	2	0	1	1	0	0	0	0	1	1	
2	0	2	0	1	1	4	1	0	0	5	3	3	5	5	0	1	0	0	1	3	3	3	3	1	1	0	1	0	1	1	1	4	7	1	3	2	2	3	1	4	0	1	0	0	2	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	2	2	1	0	0	0	0	3	5	1	0	0	2	1	1	1	1	0	2	0	0	0	
3	0	1	0	1	1	0	1	1	0	4	2	1	0	12	0	0	0	0	1	0	3	2	3	0	0	0	0	1	1	0	0	3	1	3	4	1	1	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	1	0	0	0	1	1	1	6	0	0	0	0	3	1	1	0	6	1	0	1	1	1	0	0	0	1	1	
