"УИК №2753"	"УИК №2754"	"УИК №2755"	"УИК №2756"	"УИК №2757"	"УИК №2758"	"УИК №2759"	"УИК №2760"	"УИК №2761"	"УИК №2762"	"УИК №2763"	"УИК №2764"	"УИК №2765"	"УИК №2766"	"УИК №2767"	"УИК №2768"	"УИК №2769"	"УИК №2770"	"УИК №2771"	"УИК №2772"	"УИК №2773"	"УИК №2774"	"УИК №2775"	"УИК №2776"	"УИК №2777"	"УИК №2778"	"УИК №2779"	"УИК №2780"	"УИК №2781"	"УИК №2782"	"УИК №2783"	"УИК №2784"	"УИК №2785"	"УИК №2786"	"УИК №2787"	"УИК №2788"	"УИК №2789"	"УИК №2790"	"УИК №3763"	
2018	1327	2513	1743	2305	2205	2726	1087	1969	2352	3215	2362	1551	2298	2957	2195	2299	2722	2444	2603	2065	2266	2027	1737	2642	2164	2677	2474	2056	1531	2068	1881	2491	1830	2712	1812	874	1946	127	
1500	1004	2000	1300	1800	1800	2000	950	1600	1900	2400	1800	1400	1600	2200	1700	1800	2000	1900	2100	1700	1800	1650	1400	2100	1700	2200	2000	1600	1200	1500	1500	2000	1400	2100	1400	700	1700	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
970	687	1267	898	1261	1072	1543	533	1062	1223	1605	1341	1096	1285	1427	1260	1268	1513	1406	1459	1113	1365	1135	966	1485	1170	1569	1437	1193	922	1226	1033	1378	1062	1431	954	516	1038	116	
43	42	87	44	92	80	62	7	37	65	40	60	21	3	9	21	27	24	20	20	23	24	42	45	48	31	19	44	53	23	46	44	48	30	2	41	8	33	0	
487	275	646	358	447	648	395	410	501	612	755	399	283	312	763	419	505	463	474	621	564	411	473	389	567	499	612	519	354	255	228	423	574	308	667	405	176	629	84	
43	42	87	44	92	80	62	7	37	65	40	60	21	3	9	21	27	24	20	20	23	24	42	45	48	31	19	44	53	23	46	44	48	30	2	41	8	33	0	
968	686	1265	898	1256	1070	1538	533	1061	1221	1601	1339	1092	1285	1423	1259	1268	1513	1405	1459	1109	1365	1133	966	1482	1168	1569	1437	1192	922	1224	1033	1378	1061	1431	951	515	1036	116	
15	9	23	9	14	15	45	3	28	48	36	19	29	13	27	20	14	24	20	18	16	13	14	16	17	26	14	13	11	10	12	10	19	10	19	18	7	14	1	
996	719	1329	933	1334	1135	1555	537	1070	1238	1605	1380	1084	1275	1405	1260	1281	1513	1405	1461	1116	1376	1161	995	1513	1173	1574	1468	1234	935	1258	1067	1407	1081	1414	974	516	1055	115	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	6	15	6	12	15	21	6	13	15	8	14	11	13	17	8	12	16	17	9	12	18	14	12	26	15	24	20	10	5	17	18	14	15	12	13	5	8	0	
111	81	163	110	194	128	207	83	183	160	219	192	170	162	191	154	176	217	197	241	158	210	138	113	201	153	239	217	169	122	187	117	178	148	188	129	99	160	9	
62	24	37	31	43	35	75	15	25	44	57	39	29	30	23	43	39	62	44	47	30	32	35	28	43	36	43	48	64	32	58	33	43	51	29	33	22	40	2	
713	500	907	634	878	818	1047	373	669	832	1081	911	683	898	900	844	917	971	983	999	804	973	861	727	1078	804	1083	1036	858	689	841	783	1002	771	948	649	276	716	93	
38	44	96	78	88	63	76	30	82	70	125	80	98	101	138	91	61	110	80	90	46	54	48	49	67	75	80	57	43	35	64	38	69	45	122	70	57	77	5	
5	2	7	6	8	10	11	1	8	10	5	13	8	3	4	7	7	8	11	5	3	16	7	8	18	5	8	13	14	6	8	7	16	4	4	8	5	4	2	
17	20	33	30	36	12	31	10	33	41	29	38	30	43	54	39	28	52	34	30	25	26	22	18	28	13	26	32	29	14	25	20	25	13	43	22	19	19	3	
40	42	71	38	75	54	87	19	57	66	81	93	55	25	78	74	41	77	39	40	38	47	36	40	52	72	71	45	47	32	58	51	60	34	68	50	33	31	1	
