"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	
148	1294	264	158	175	186	
148	1292	266	160	177	188	
0	11	9	0	0	0	
125	849	215	140	137	161	
11	60	31	12	22	16	
12	372	11	8	18	11	
11	71	40	12	22	16	
125	849	215	140	137	161	
1	13	3	0	0	0	
135	907	252	152	159	177	
0	0	0	0	0	0	
0	0	0	0	0	0	

0	4	0	0	1	0	
3	28	4	20	7	1	
12	55	8	13	4	6	
116	788	240	118	144	168	
3	16	0	1	0	1	
1	3	0	0	2	0	
0	8	0	0	1	0	
0	5	0	0	0	1	
