"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №586"	"УИК №587"	"УИК №588"	
618	704	669	670	596	484	688	602	517	653	459	593	655	941	557	584	496	76	65	493	587	67	223	297	417	198	122	445	178	174	168	386	60	101	147	53	448	73	57	177	379	52	123	135	457	62	95	157	48	485	463	128	676	277	148	97	104	561	465	207	170	675	550	120	193	89	
640	740	660	670	600	530	720	630	550	680	470	660	670	990	570	580	540	80	70	500	620	70	230	320	470	210	130	450	180	170	180	420	70	110	160	60	460	90	70	190	400	60	130	140	470	60	100	160	50	500	470	140	700	280	150	100	110	600	500	210	170	680	570	130	200	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
343	395	360	339	310	270	355	376	316	341	232	354	340	516	300	250	285	51	32	309	261	38	117	141	251	106	62	230	117	115	98	243	42	61	101	39	274	38	53	129	184	7	55	78	270	35	64	109	32	219	230	64	385	114	86	54	53	280	291	120	97	324	273	40	109	87	
29	25	24	46	17	23	49	10	21	24	36	31	10	18	17	73	35	3	9	30	70	3	24	48	45	9	10	32	17	0	12	38	3	13	3	5	44	18	4	10	29	29	11	0	23	2	8	14	3	48	55	17	32	41	7	7	12	51	25	17	16	56	41	19	19	0	
268	320	276	285	273	237	316	244	213	315	202	275	320	456	253	257	220	26	29	161	289	29	89	131	174	95	58	188	46	55	70	139	25	36	56	16	142	34	13	51	187	24	64	62	177	23	28	37	15	233	185	59	283	125	57	39	45	269	184	73	57	300	256	71	72	13	
29	25	24	46	17	23	49	10	21	24	36	31	10	18	17	73	35	3	9	30	70	3	24	48	45	9	10	32	17	0	12	38	3	13	3	5	44	18	4	10	29	29	11	0	23	2	8	14	3	48	55	17	32	41	7	7	12	51	25	17	16	56	41	19	19	0	
343	395	360	339	310	270	355	376	316	341	232	354	340	516	300	250	285	51	32	309	261	38	117	141	251	106	62	230	117	115	98	243	42	61	101	39	274	38	53	129	184	7	55	78	270	35	64	109	32	219	230	64	385	114	86	54	53	280	291	120	97	324	273	40	109	87	
4	5	4	3	3	4	9	3	5	3	5	2	3	5	5	3	5	0	0	1	7	0	2	2	0	0	0	3	1	2	1	0	0	0	0	0	1	0	0	0	1	0	2	0	3	0	1	1	0	2	2	0	4	0	1	0	0	0	6	3	1	6	2	1	1	1	
368	415	380	382	324	289	395	383	332	362	263	383	347	529	312	320	315	54	41	338	324	41	139	187	296	115	72	259	133	113	109	281	45	74	104	44	317	56	57	139	212	36	64	78	290	37	71	122	35	265	283	81	413	155	92	61	65	331	310	134	112	374	312	58	127	86	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	4	4	5	2	2	4	4	2	4	2	1	0	1	2	1	4	0	0	4	2	0	3	1	1	2	1	1	1	1	1	3	0	0	1	1	2	3	0	0	2	0	0	3	2	0	0	0	0	0	0	0	4	1	3	0	0	2	2	2	3	3	4	1	1	0	
102	100	102	112	98	84	124	105	100	101	68	126	109	142	59	71	57	6	7	62	59	0	7	26	54	20	9	102	33	24	44	89	14	18	21	10	51	12	7	14	16	4	5	12	37	7	14	0	3	36	54	7	75	27	10	6	3	43	30	10	19	85	78	10	18	15	
20	21	30	33	19	17	26	25	22	28	12	24	18	46	24	27	35	2	3	29	35	4	14	18	32	4	17	13	6	24	5	5	0	1	2	2	19	7	2	8	9	2	1	0	18	1	6	5	7	18	15	2	31	14	10	4	2	12	20	14	4	15	26	4	22	8	
232	284	232	223	199	182	235	241	200	224	179	224	215	327	220	218	212	44	31	234	223	37	113	137	203	87	43	138	92	64	58	177	29	52	74	31	238	34	48	117	180	28	58	62	230	29	47	116	25	207	210	68	297	113	66	51	57	269	256	107	84	264	193	39	82	62	
2	3	5	6	2	1	3	4	2	5	0	2	0	5	2	1	1	1	0	1	0	0	0	2	5	0	1	2	0	0	0	3	0	3	4	0	2	0	0	0	3	0	0	0	2	0	4	1	0	0	0	1	4	0	0	0	0	5	0	0	1	3	6	0	0	0	
0	2	1	1	0	0	2	3	4	0	0	1	2	2	0	0	5	0	0	3	1	0	0	2	1	2	0	2	0	0	1	3	2	0	1	0	3	0	0	0	0	2	0	1	1	0	0	0	0	1	2	1	0	0	2	0	0	0	1	1	1	3	0	0	0	0	
2	1	5	2	2	2	1	0	0	0	1	3	2	1	1	2	1	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	2	1	2	0	1	0	0	0	0	0	0	1	5	1	4	1	
3	0	1	0	2	1	0	1	2	0	1	2	1	5	4	0	0	0	0	3	4	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	1	0	0	0	0	3	0	0	
