"УИК №2135"	"УИК №2136"	"УИК №2137"	"УИК №2138"	"УИК №2139"	"УИК №2140"	"УИК №2141"	"УИК №2142"	"УИК №2143"	"УИК №2144"	"УИК №2145"	"УИК №2146"	"УИК №2147"	
493	212	281	191	86	1681	138	384	208	134	280	151	463	
500	215	290	185	83	1705	140	380	205	132	275	155	480	
0	0	0	0	0	0	0	0	0	0	0	0	0	
438	174	245	144	75	1031	118	286	123	90	165	106	336	
25	24	19	24	8	119	6	34	68	38	80	33	44	
37	17	26	17	0	555	16	60	14	4	30	16	100	
25	24	19	24	8	119	6	34	68	38	80	33	44	
438	174	245	144	75	1031	118	286	123	90	165	106	336	
1	1	0	0	0	10	0	5	0	0	1	0	6	
462	197	264	168	83	1140	124	315	191	128	244	139	374	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	1	0	0	5	1	0	0	0	1	0	2	
21	8	12	9	5	147	27	39	17	3	11	5	35	
20	8	10	9	3	77	4	5	8	5	10	4	7	
416	177	241	150	75	898	92	270	159	119	219	129	328	
0	0	0	0	0	7	0	0	7	1	1	1	1	
4	2	0	0	0	5	0	0	0	0	1	0	1	
1	0	0	0	0	0	0	1	0	0	1	0	0	
0	2	0	0	0	1	0	0	0	0	0	0	0	
