"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №666"	"УИК №667"	
394	987	529	853	1394	1283	297	547	259	615	226	309	167	283	273	348	103	
300	900	500	800	1200	1300	300	500	200	550	200	250	150	250	250	350	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
208	576	325	386	656	758	154	244	129	347	129	205	118	120	122	197	79	
30	40	27	72	102	92	64	119	52	75	51	40	22	71	37	31	4	
62	284	148	342	442	450	82	137	19	128	20	5	10	59	91	122	17	
30	40	27	72	102	92	64	119	52	75	51	40	22	71	37	31	4	
208	576	325	386	656	758	154	244	129	347	129	205	118	120	122	197	79	
3	5	6	7	5	5	2	1	1	3	0	0	0	0	2	2	0	
235	611	346	451	753	845	216	362	180	419	180	245	140	191	157	226	83	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	10	4	6	2	3	2	3	1	4	1	1	0	2	2	4	1	
29	117	66	96	112	81	31	27	21	61	16	16	14	35	26	32	14	
20	54	28	61	70	121	25	43	12	58	30	20	16	20	26	21	6	
176	410	243	279	552	615	154	284	143	283	133	204	105	131	100	163	61	
2	9	2	4	8	4	1	3	2	7	0	1	0	2	1	3	1	
2	3	2	1	3	10	3	0	1	4	0	2	1	0	2	0	0	
0	5	0	1	5	10	0	1	0	1	0	0	4	0	0	3	0	
2	3	1	3	1	1	0	1	0	1	0	1	0	1	0	0	0	
