"УИК №2499"	"УИК №2500"	"УИК №2501"	"УИК №2502"	"УИК №2503"	"УИК №2504"	"УИК №2505"	"УИК №2506"	"УИК №2507"	"УИК №2508"	"УИК №2509"	"УИК №2510"	"УИК №2511"	"УИК №2512"	"УИК №2513"	"УИК №2514"	"УИК №2515"	"УИК №2516"	"УИК №2517"	"УИК №2518"	"УИК №2519"	"УИК №2520"	"УИК №2521"	"УИК №2522"	"УИК №2523"	"УИК №2524"	"УИК №2525"	"УИК №2526"	"УИК №2527"	"УИК №2528"	"УИК №2529"	"УИК №2530"	"УИК №2531"	"УИК №2532"	"УИК №2533"	"УИК №2534"	"УИК №2535"	"УИК №2536"	"УИК №2537"	"УИК №2538"	"УИК №2539"	"УИК №2540"	"УИК №2541"	"УИК №2542"	"УИК №2543"	"УИК №2544"	"УИК №2545"	"УИК №2546"	"УИК №2547"	"УИК №2548"	"УИК №2549"	"УИК №4031"	"УИК №4032"	"УИК №4033"	"УИК №4034"	"УИК №4035"	"УИК №4036"	"УИК №4232"	
1549	1429	1503	1337	1465	1363	1509	1335	1245	1612	1358	1427	1646	1606	1621	1267	1473	1293	1551	1864	1886	2275	2260	758	1531	1041	1567	1075	1314	1566	1357	1504	1115	309	1263	340	1236	893	1567	1478	1636	1372	1652	1453	1746	1129	1408	1942	934	2286	1624	1510	1055	1415	1266	964	1342	442	
1400	1300	1400	1300	1300	1200	1300	1200	1100	1500	1250	1250	1450	1300	1400	1100	1200	1050	1400	1300	1600	1600	2000	600	1450	900	1450	1000	1150	1400	1250	1200	1000	250	1200	300	1100	850	1400	1400	1500	1250	1500	1200	1600	1000	1150	1700	800	1650	1750	1500	900	1300	1100	900	1200	457	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
868	875	832	700	799	731	870	685	612	890	844	852	920	960	908	806	787	669	843	1098	1006	1400	1216	378	772	543	837	644	752	861	723	953	657	195	740	206	690	530	935	949	1099	872	1047	898	966	673	871	1142	553	1508	1619	1297	792	786	693	608	744	233	
27	29	49	32	27	25	23	28	27	29	22	31	27	26	8	18	15	18	33	36	45	20	72	40	46	43	60	16	17	30	37	33	16	1	9	3	29	17	17	18	13	13	16	22	17	22	17	16	9	5	5	11	2	24	21	20	32	209	
505	396	519	568	474	444	407	487	461	581	384	367	503	314	484	276	398	363	524	166	549	180	712	182	632	314	553	340	381	509	490	214	327	54	451	91	381	303	448	433	388	365	437	280	617	305	262	542	238	137	126	192	106	490	386	272	424	15	
27	29	49	32	27	25	23	28	27	29	22	31	27	26	8	18	15	18	33	36	45	20	72	40	46	43	60	16	17	30	37	33	16	1	9	3	29	17	17	18	13	13	16	22	17	22	17	16	9	5	5	11	2	24	21	20	32	209	
867	855	832	700	799	731	870	685	612	890	844	852	919	960	908	806	786	669	843	1095	1006	1399	1216	378	771	543	837	644	750	857	723	953	657	195	740	206	690	530	934	948	1098	872	1046	897	966	672	861	1137	552	1507	1619	1296	792	785	692	608	744	233	
12	11	7	13	14	15	9	11	8	13	7	6	11	9	10	11	14	17	19	9	6	16	16	9	10	9	12	20	11	12	5	8	6	4	6	1	8	9	19	11	16	9	18	9	14	8	9	11	5	17	17	16	8	11	12	13	5	1	
882	873	874	719	812	741	884	702	631	906	859	877	935	977	906	813	787	670	857	1122	1045	1403	1272	409	807	577	885	640	756	875	755	978	667	192	743	208	711	538	932	955	1095	876	1044	910	969	686	869	1142	556	1495	1607	1291	786	798	701	615	771	441	
