"УИК №2001"	"УИК №2002"	"УИК №2003"	"УИК №2004"	"УИК №2005"	"УИК №2006"	"УИК №2007"	"УИК №2008"	"УИК №2009"	"УИК №2010"	"УИК №2011"	"УИК №2012"	"УИК №2013"	"УИК №2014"	"УИК №2015"	"УИК №2016"	"УИК №2017"	"УИК №2018"	"УИК №2019"	"УИК №2020"	"УИК №2021"	"УИК №2022"	
314	497	396	260	146	432	1249	1307	178	529	307	297	1326	723	518	771	385	272	551	458	587	216	
310	510	400	270	150	440	1300	1400	190	530	300	315	1450	780	555	785	390	280	560	450	610	210	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
227	374	290	187	120	368	862	869	135	382	191	191	539	366	336	493	264	188	399	354	409	171	
41	27	45	30	15	38	59	64	17	34	63	26	140	107	75	97	37	26	68	27	75	7	
42	109	65	53	15	34	379	467	38	114	46	98	771	307	144	195	89	66	93	69	126	32	
41	27	45	30	15	38	59	64	17	34	63	26	140	107	75	97	37	26	68	27	75	7	
227	374	290	187	120	368	862	869	135	382	191	191	539	366	336	493	264	188	399	354	409	171	
2	0	0	3	0	5	11	17	0	0	1	4	4	2	2	17	6	0	17	19	4	3	
266	401	335	214	135	401	910	916	152	416	253	213	675	471	409	573	295	214	450	362	480	175	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	1	0	2	1	5	7	0	0	0	3	3	0	3	0	0	1	2	4	3	0	
23	58	20	15	6	19	162	153	13	33	9	32	89	23	33	56	24	7	52	19	40	3	
12	27	9	19	5	24	68	68	15	27	1	19	36	25	5	10	17	3	30	18	56	14	
228	310	303	176	108	355	657	658	122	351	241	155	540	414	366	499	250	198	353	315	374	153	
1	4	1	0	6	0	8	16	1	2	1	2	4	6	0	2	1	3	6	2	3	2	
2	1	1	1	3	1	4	4	0	3	0	2	3	2	1	3	1	0	6	4	1	1	
0	0	0	1	4	1	5	8	1	0	0	0	0	0	0	1	1	2	1	0	1	2	
0	0	0	2	1	0	1	2	0	0	1	0	0	1	1	2	1	0	0	0	2	0	
