"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №125"	
2119	1250	1484	1890	493	319	
1750	1050	1200	1550	450	320	
0	0	0	0	0	0	
1361	845	942	1252	292	319	
52	53	49	26	28	0	
337	152	209	272	130	1	
52	53	49	26	28	0	
1361	845	942	1252	292	319	
21	18	15	23	3	4	
1392	880	976	1255	317	315	
0	0	0	0	0	0	
0	0	0	0	0	0	

10	7	5	6	0	0	
286	143	164	244	56	53	
169	103	102	145	46	38	
894	615	684	816	209	217	
14	1	7	16	2	2	
5	1	10	13	2	3	
9	2	3	8	2	0	
5	8	1	7	0	2	
