"УИК №2701"	"УИК №2702"	"УИК №2703"	"УИК №2704"	"УИК №2705"	"УИК №2706"	"УИК №2707"	"УИК №2708"	"УИК №2709"	"УИК №2710"	"УИК №2711"	"УИК №2712"	"УИК №2713"	"УИК №2714"	"УИК №2715"	"УИК №2716"	"УИК №2717"	"УИК №2718"	"УИК №2719"	
66	82	79	83	301	183	706	360	326	415	372	74	81	188	106	146	355	293	414	
90	78	90	101	300	191	631	343	334	437	383	69	88	200	115	195	332	271	410	
0	0	0	0	0	0	0	25	0	0	20	0	0	0	0	0	30	0	0	
54	68	73	62	199	107	469	249	254	272	245	59	69	125	82	102	237	185	403	
0	3	0	6	84	43	87	30	31	47	49	2	4	29	7	20	25	53	0	
36	7	17	33	17	41	75	39	49	118	69	8	15	46	26	73	40	33	7	
0	3	0	6	84	43	87	55	31	47	69	2	4	29	7	20	55	53	0	
54	68	73	62	199	107	469	249	254	272	245	59	69	125	82	102	237	185	403	
1	2	1	0	9	0	14	2	2	0	5	2	0	0	1	0	3	2	10	
53	69	72	68	274	150	542	302	283	319	309	59	73	154	88	122	289	236	393	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	0	1	4	0	1	0	1	3	2	0	0	1	0	0	3	2	3	
1	7	8	4	12	16	116	29	29	44	35	3	6	26	18	7	24	45	57	
7	8	9	11	17	14	109	24	29	34	35	13	8	22	5	16	36	24	38	
43	52	54	50	229	116	295	239	221	226	228	42	59	102	64	98	223	157	277	
0	1	0	1	10	0	10	5	1	6	3	0	0	1	0	0	0	1	4	
0	0	0	1	0	3	2	2	1	1	2	0	0	0	0	0	1	5	6	
2	0	1	0	0	1	6	1	1	2	2	1	0	2	0	0	1	1	8	
0	0	0	0	2	0	3	2	0	3	2	0	0	0	1	1	1	1	0	
