"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №683"	
876	257	531	712	1083	361	467	486	1511	2553	1998	2659	2598	269	129	592	126	276	643	573	357	191	20	
964	261	541	744	1135	337	511	500	1407	2468	1982	2620	2644	269	142	606	133	288	672	614	388	190	34	
109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	94	38	30	0	
316	136	292	353	624	253	265	309	988	1521	1212	1531	1567	119	59	322	83	114	394	194	180	70	19	
58	19	21	61	70	13	79	37	20	44	27	56	31	4	7	32	4	54	56	15	3	13	0	
481	106	228	330	441	71	167	154	399	903	743	1032	1046	146	76	252	46	120	217	311	167	77	15	
167	19	21	61	70	13	79	37	20	44	27	56	31	4	7	32	4	54	61	109	41	43	0	
316	136	292	353	624	253	265	309	988	1521	1212	1530	1566	119	59	322	83	114	394	194	180	70	19	
3	0	4	4	7	2	4	3	14	20	19	30	31	1	0	3	4	2	3	2	1	0	0	
480	155	309	410	687	264	340	343	994	1545	1220	1556	1566	122	66	351	83	166	452	301	220	113	19	
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	1	3	5	6	6	2	1	7	17	12	10	10	2	2	1	1	2	2	5	4	2	0	
66	8	35	24	48	23	23	28	111	176	154	183	130	17	8	25	8	19	32	19	11	5	2	
39	21	45	39	62	37	33	44	79	142	116	167	154	16	11	33	2	11	58	29	32	13	0	
360	122	215	333	550	188	271	256	749	1124	861	1101	1215	82	43	282	71	130	352	239	168	92	14	
5	3	3	3	13	7	6	4	23	47	27	47	21	2	2	5	1	3	0	5	0	1	0	
2	0	3	1	3	1	2	3	9	8	10	15	15	1	0	3	0	0	5	2	4	0	0	
2	0	5	1	4	1	1	4	8	19	26	16	11	0	0	1	0	1	2	1	1	0	2	
0	0	0	4	1	1	2	3	8	12	14	17	10	2	0	1	0	0	1	1	0	0	1	
