"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	
1910	1946	457	135	164	360	229	319	116	154	292	112	150	273	202	83	195	
1928	1982	424	118	149	368	225	307	109	141	310	113	146	286	204	78	188	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1087	1051	202	58	84	146	90	129	38	63	143	44	65	129	108	28	105	
67	80	101	45	30	116	74	105	37	43	74	26	41	65	44	35	43	
774	851	121	15	35	106	61	73	34	35	93	43	40	92	52	15	40	
67	80	101	45	30	116	74	105	37	43	74	26	41	65	44	35	43	
1087	1051	202	58	84	146	90	129	38	63	143	44	65	129	108	28	105	
16	12	4	0	0	5	0	3	0	0	0	0	0	2	1	0	1	
1138	1119	299	103	114	257	164	231	75	106	217	70	106	192	151	63	147	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

16	12	2	1	2	2	1	3	1	0	1	1	0	1	2	1	2	
222	181	37	15	12	38	18	23	8	25	32	12	7	32	21	9	12	
79	90	25	5	6	20	14	18	6	5	21	1	7	26	11	3	10	
765	755	223	80	89	187	121	176	58	71	156	46	86	131	115	47	118	
13	22	1	1	2	3	4	5	0	2	4	2	1	0	1	0	1	
12	11	6	0	2	4	2	4	2	1	1	1	2	0	0	0	2	
11	16	1	1	1	0	3	1	0	0	0	0	1	0	0	2	1	
20	32	4	0	0	3	1	1	0	2	2	7	2	2	1	1	1	
