"УИК №2575"	"УИК №2576"	"УИК №2577"	"УИК №2578"	"УИК №2579"	
1227	1784	2249	1712	1711	
1100	1600	2100	1600	1600	
0	0	0	0	0	
594	1182	1419	1011	983	
23	27	52	49	26	
483	391	629	540	591	
23	27	52	49	26	
593	1182	1419	1011	983	
8	18	28	19	9	
608	1191	1443	1041	1000	
0	0	0	0	0	
0	0	0	0	0	

2	13	13	6	3	
93	175	164	147	134	
71	100	125	93	84	
429	867	1086	759	749	
3	16	27	9	15	
6	7	8	11	6	
2	4	13	10	5	
2	9	7	6	4	
