"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	"УИК №631"	"УИК №632"	"УИК №633"	"УИК №634"	
611	1067	798	425	771	437	1636	1509	1384	1728	148	424	629	1148	1422	508	390	940	610	386	425	245	505	
600	1120	780	420	750	430	1570	1470	1300	1680	150	415	630	1130	1400	480	380	900	580	390	420	240	495	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
457	818	615	362	624	326	1235	999	849	1171	125	379	539	756	934	324	296	690	440	293	324	152	410	
100	175	104	36	77	77	125	103	198	140	16	26	59	176	195	77	54	178	124	47	70	71	49	
43	127	61	22	49	27	210	368	253	369	9	10	32	198	271	79	30	32	16	50	26	17	36	
100	175	104	36	77	77	125	103	198	140	16	26	59	176	195	77	54	178	124	47	70	71	49	
457	818	615	362	624	326	1235	999	849	1171	125	379	539	756	934	324	296	690	440	293	324	152	410	
4	5	2	3	0	5	9	4	10	8	0	5	2	15	12	7	1	39	1	4	2	1	3	
553	988	717	395	701	398	1351	1098	1037	1303	141	400	596	917	1117	394	349	829	563	336	392	222	456	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	1	1	0	1	1	4	4	13	1	0	0	3	1	2	0	1	12	4	2	1	0	1	
30	49	31	15	38	22	147	79	96	144	3	5	27	70	60	26	14	63	24	12	31	9	42	
20	39	26	12	7	8	39	53	41	40	3	4	17	58	29	17	13	18	15	12	11	9	10	
497	889	648	366	646	360	1135	946	866	1090	135	390	545	774	1013	348	318	725	515	309	346	200	399	
1	1	2	0	1	4	9	5	10	3	0	0	2	7	4	1	0	1	1	0	1	1	2	
2	4	2	1	4	1	12	8	4	12	0	1	1	1	6	1	1	5	2	0	2	0	2	
0	3	6	1	3	0	2	2	7	10	0	0	1	4	2	0	1	3	2	0	0	1	0	
0	2	1	0	1	2	3	1	0	3	0	0	0	2	1	1	1	2	0	1	0	2	0	
