"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	
2015	1937	949	1586	1572	2080	1043	1700	2606	2036	2368	1804	2178	2155	1992	2478	1747	1115	1012	2036	1816	2235	1272	1607	1860	1822	1783	2071	1249	1370	1484	2444	1610	1632	2236	1783	1487	2013	1143	1435	1709	2021	2386	2152	2984	2283	859	1919	1707	1863	2169	2031	1949	1351	1428	2225	2054	1126	2074	2362	2469	1891	939	88	285	172	
1850	1800	900	1500	1450	1900	1050	1450	2400	1900	2200	1650	2050	2050	1800	2100	1550	1100	900	1850	1750	2100	1200	1500	1750	1700	1650	1950	1200	1300	1350	2300	1500	1500	2050	1700	1400	1800	1000	1350	1600	1800	2200	2000	2700	2100	800	1800	1550	1700	2000	1850	1800	1250	1300	2050	1900	1050	1900	2200	2300	1750	1000	100	300	169	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
828	1178	438	801	866	1162	581	845	1427	1136	1307	1034	1134	1259	1116	1523	1068	563	545	1156	992	1325	700	921	956	1066	1058	970	676	807	875	1455	972	949	1374	1031	792	1205	625	847	908	1089	1248	1260	1777	1192	388	918	876	881	1077	942	1113	646	753	1386	1270	549	1110	1379	1326	797	936	88	285	169	
79	32	52	39	45	66	22	23	53	59	59	45	111	50	42	41	34	34	40	74	39	41	73	20	59	30	30	65	22	19	36	40	29	41	35	29	26	33	22	31	112	28	81	46	30	59	65	26	52	99	48	81	36	21	57	23	21	8	21	47	47	161	0	0	0	0	
943	590	410	660	539	672	447	582	920	705	834	571	805	741	642	536	448	503	315	620	719	734	427	559	735	604	562	915	502	474	439	805	499	510	641	640	582	562	353	472	580	683	871	694	893	849	347	856	622	720	875	827	651	583	490	641	609	493	769	774	927	792	64	12	15	0	
79	32	52	39	45	66	22	23	53	59	59	45	111	50	42	41	34	34	40	74	39	41	73	20	59	30	30	65	22	19	36	40	29	41	35	29	26	33	22	31	112	28	81	46	30	59	65	26	52	99	48	81	36	21	57	23	21	8	21	47	47	161	0	0	0	0	
828	1178	438	800	866	1162	581	845	1425	1136	1307	1033	1133	1259	1116	1523	1068	562	545	1156	992	1324	700	921	956	1066	1058	970	676	807	875	1455	972	949	1374	1030	792	1205	625	847	908	1089	1248	1260	1777	1192	388	918	876	881	1077	942	1113	646	753	1386	1270	549	1110	1379	1326	797	936	88	285	169	
11	13	1	7	7	11	5	8	10	10	8	12	8	11	5	11	12	2	1	12	8	6	5	12	8	10	8	11	4	6	8	14	9	6	20	7	7	13	9	12	6	12	12	10	14	15	2	3	5	5	3	7	5	7	5	6	11	5	8	14	9	12	7	0	1	0	
896	1197	489	832	904	1217	598	860	1468	1185	1358	1066	1236	1298	1153	1553	1090	594	584	1218	1023	1359	768	929	1007	1086	1080	1024	694	820	903	1481	992	984	1389	1052	811	1225	638	866	1014	1105	1317	1296	1793	1236	451	941	923	975	1122	1016	1144	660	805	1403	1280	552	1123	1412	1364	946	929	88	284	169	
