"УИК №751"	"УИК №752"	"УИК №753"	"УИК №754"	"УИК №755"	"УИК №756"	"УИК №757"	"УИК №758"	"УИК №759"	"УИК №760"	"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	"УИК №778"	"УИК №779"	"УИК №780"	"УИК №781"	"УИК №782"	"УИК №783"	"УИК №784"	"УИК №785"	"УИК №786"	"УИК №787"	"УИК №788"	"УИК №789"	"УИК №790"	"УИК №791"	"УИК №792"	"УИК №793"	"УИК №794"	"УИК №795"	"УИК №796"	"УИК №797"	"УИК №798"	"УИК №799"	"УИК №800"	"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	"УИК №820"	"УИК №821"	"УИК №822"	"УИК №823"	
1579	1088	1267	1772	1304	1786	2110	2363	2484	2374	1415	1732	2354	1373	1831	1807	1565	1923	1305	1459	1830	2087	1207	2022	1078	1368	1247	1275	1149	1624	1886	1545	1774	2005	1780	1456	1795	2018	1522	1581	1861	1371	1522	1464	2657	1533	1717	353	1964	1801	1578	1812	155	1357	839	1831	1529	1206	1907	1805	1908	1952	2014	1970	2085	1776	121	110	555	59	73	268	40	
1500	1050	1050	1700	1150	1700	2000	2300	2400	2300	1400	1700	2100	1350	1800	1800	1500	1850	1050	1250	1700	2000	1150	1700	1050	1300	1200	1200	1050	1600	1800	1500	1705	1900	1800	1400	1750	2000	1500	1550	1900	1360	1600	1500	2450	1400	1500	329	1950	1700	1550	1750	152	1200	900	1650	1500	1050	1600	1600	1700	1700	1977	1800	2000	1750	121	110	555	59	73	268	40	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1171	756	847	1407	1088	1294	1648	1416	1815	1768	791	1164	1404	778	1156	1443	1116	1570	1004	1121	1468	1530	1082	1497	726	1128	1023	1013	986	1307	1441	1071	1262	1511	1152	1222	1315	1568	1196	1141	1568	1173	1348	1241	2018	1168	1211	198	1497	1506	1239	1443	135	1096	772	1454	1268	920	1470	1351	1226	1209	1309	1271	1638	1414	121	98	555	59	67	198	40	
50	37	41	42	19	39	16	38	13	22	40	39	38	49	34	72	57	51	39	30	44	64	0	21	37	47	51	37	14	44	20	49	48	87	30	50	23	48	31	71	42	30	40	32	52	161	64	79	44	23	43	45	4	7	3	23	37	4	36	30	68	46	20	47	21	20	0	11	0	0	6	70	0	
279	257	162	251	43	367	336	846	572	510	569	497	658	523	610	285	327	229	7	99	188	406	68	182	287	125	126	150	50	249	339	380	395	302	618	128	412	384	273	338	290	157	212	227	380	71	225	52	409	171	268	262	13	97	125	173	195	126	94	219	406	445	648	482	341	316	0	1	0	0	0	0	0	
50	37	41	42	19	39	16	38	13	22	40	39	37	49	34	72	57	51	39	30	44	64	0	21	37	47	51	37	14	43	20	49	48	87	30	50	22	48	31	71	42	30	40	32	52	161	64	79	44	23	43	45	4	7	3	23	37	4	36	30	68	46	20	47	21	20	0	11	0	0	6	70	0	
1171	756	847	1407	1088	1293	1648	1416	1815	1768	791	1164	1404	778	1156	1443	1115	1570	1004	1121	1468	1530	1081	1496	726	1128	1022	1013	986	1307	1441	1071	1262	1511	1152	1222	1313	1567	1196	1141	1568	1173	1348	1241	2018	1168	1211	198	1497	1506	1239	1443	135	1096	770	1454	1268	920	1468	1351	1225	1209	1309	1271	1638	1414	121	98	555	59	67	198	40	
21	10	11	15	13	20	21	23	27	19	9	20	16	6	19	17	15	18	16	20	18	14	8	18	7	15	22	15	8	15	14	21	15	22	11	22	8	24	17	19	21	19	12	12	24	13	9	18	19	16	11	31	0	19	18	15	18	7	15	17	18	12	14	18	14	18	0	0	5	1	2	4	0	
1200	783	877	1434	1094	1312	1643	1431	1801	1771	822	1183	1425	821	1171	1498	1157	1603	1027	1131	1494	1580	1073	1499	756	1160	1051	1035	992	1335	1447	1099	1295	1576	1171	1250	1327	1591	1210	1193	1589	1184	1376	1261	2046	1316	1266	259	1522	1513	1271	1457	139	1084	755	1462	1287	917	1489	1364	1275	1243	1315	1300	1645	1416	121	109	550	58	71	264	40	
